site_uid,basin_name,basin_type,dist_to_0,dist_to_1,dist_to_2,dist_to_3,area0,area1,area2,area3,selection_mode,reviewed,river_da_km2,river_name,flag_area,flag_river,flag_not_contained,flag_basin1_over_basin0,flag_area_mismatch_v2,flag_area_mismatch_v3
WQS0064,WQS0064_basin1.parquet,1,,0.0,0.0,4.288943791252136,,2009.1724270854152,1988.363059697733,38.94922966570893,manual,True,2323.3113,Upper Iowa River,False,False,False,False,False,True
WQS0065,WQS0065_basin1.parquet,1,,5.365039353323863,0.0,0.0,,9220.49489967921,765620.0962957803,34803.232521521786,manual,True,774846.243,Missouri River,False,True,False,False,True,True
WQS0066,WQS0066_basin1.parquet,1,,9.068165703873174,0.0,2.285795597024206,,2358.643811294012,763234.8959679091,11116.81050060763,manual,True,774846.243,Missouri River,False,True,False,False,True,True
WQS0067,WQS0067_basin1.parquet,1,,0.0,0.0,4.465145561029839,,4133.423083507628,4133.423083507628,9.254354092186365,manual,True,4134.0744,Rock River,False,False,False,False,False,True
WQS0069,WQS0069_basin1.parquet,1,,0.0,0.0,0.0,,3320.272969672908,3320.272969672908,3311.952755109296,auto,False,3369.1464,Wapsipinicon River,False,False,False,False,False,False
WQS0070,WQS0070_basin1.parquet,1,,0.0,0.0,2.4385117959995366,,794.4754061433929,794.4754061433929,57.33737010862309,manual,True,809.8047,Wolf Creek,False,False,False,False,False,True
WQS0071,WQS0071_basin1.parquet,1,,0.0,0.003554147790316,6.2923711309428425,,112.68199791211714,108.3207335526418,15395.4162139349,manual,True,15824.2005,Cedar River,False,True,False,False,False,True
WQS0072,WQS0072_basin1.parquet,1,,0.3166582711765495,0.0,1.588634757214462,,764.578975686362,774.0259358764408,5.309651561169696,manual,True,786.6432,,False,False,False,False,False,True
WQS0073,WQS0073_basin1.parquet,1,,0.0,0.0563902956278903,0.0,,34.809609252686,28.82661197900029,28.61502846306543,manual,True,42.6114,,False,False,False,False,True,True
WQS0074,WQS0074_basin1.parquet,1,,0.0,0.0,0.1867485568707386,,141.2299359587694,141.2299359587694,155.01120932783067,manual,True,214.9272,Cedar Creek,False,False,False,False,False,True
WQS0076,WQS0076_basin1.parquet,1,,0.0,0.0,0.0,,3.7069348008468177,3.7069348008468177,260.46846593403785,manual,True,257.6403,Clear Creek,False,False,False,False,False,True
WQS0080,WQS0080_basin1.parquet,1,,0.0,0.0,0.0868939617152757,,223.35008693758869,223.35008693758869,226.30513797487595,auto,False,315.7407,Middle River,False,False,False,False,False,False
WQS0081,WQS0081_basin1.parquet,1,,0.0,0.0,1.9887229776598288,,2187.277185591921,2187.277185591921,2074.25794667021,manual,True,2206.3896,Boone River,False,False,False,False,False,True
WQS0083,WQS0083_basin1.parquet,1,,0.0,0.0,0.1956283480384084,,4498.138736752332,4484.966741669463,4351.027077155498,auto,False,4502.5947,Shell Rock River,False,False,False,False,False,False
WQS0084,WQS0084_basin1.parquet,1,,0.0,0.0,1.6240399913985637,,4336.914670280983,4336.914670280983,6.797618111604691,manual,True,4569.9336,Shell Rock River,False,False,False,False,False,True
WQS0102,WQS0102_basin1.parquet,1,,0.0,0.0,0.0,,30.357685417762347,30.357685417762347,33.666320532703196,manual,True,54.3348,Mud Creek,False,False,False,False,False,True
WQS0104,WQS0104_basin1.parquet,1,,0.0,0.0,2.6916199794751052,,31.999658498325555,31.999658498325555,1.4315370192790229,manual,True,58.8375,,False,False,False,False,False,True
WQS0111,WQS0111_basin1.parquet,1,,0.1295874137055349,0.0,0.1586804463918053,,87.57214982791285,89.57994632768418,85.51054632760565,auto,False,111.0258,Bloody Run,False,False,False,False,False,False
WQS0114,WQS0114_basin1.parquet,1,,0.0,0.0,0.5880539790002851,,14.046322832065483,14.046322832065483,5.187119850312108,manual,True,27.2493,Bloody Run,False,False,False,False,False,True
WQS0115,WQS0115_basin1.parquet,1,,0.0,0.0,0.0,,34597.91538509592,34597.91538509592,33912.8037434811,manual,True,34607.4525,Des Moines River,False,True,False,False,False,False
