uid_a,uid_b,name_a,name_b,comid,sep_m,on_channel,channels_a,channels_b,shared_days,r,median_diff,area_a_km2,area_b_km2,agree_a,agree_b,proposed,seam,evidence
IWQIS:WQP0004,IWQIS:WQP0015,Blind Inlet at Walcott (4BISC),In-Field Research Project at Walcott (WQP 15),14796931,827.1,,nitrate,water_temp+turbidity_unknown,,,,2.589988,2.589988,True,True,distinct,,shared_comid+records+source_area
USGS:01362359,USGS:01362370,"STONY CLOVE CR AT SILVER HOLLOW RD, CHICHESTER NY",STONY CLOVE CREEK BLW OX CLOVE AT CHICHESTER NY,6189644,829.03,turbidity_fnu,turbidity_fnu,discharge+gage_height+turbidity_fnu,3037.0,0.9656,-0.7477,68.8936808,80.03062919999999,True,True,weak_evidence,,shared_comid+records+source_area
USGS:401350073595201,USGS:401352074002701,Deal Lake at Flume House at Asbury Park NJ,Deal Lake 150 ft east of Main St at Interlaken NJ,6261966,832.02,spec_cond,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,0.0,,,,,True,True,sequential,2023-04-04..2023-09-12,shared_comid+records+source_area
USGS:01362359,USGS:01362368,"STONY CLOVE CR AT SILVER HOLLOW RD, CHICHESTER NY",OX CLOVE NEAR MOUTH AT CHICHESTER NY,6189644,832.34,turbidity_fnu,turbidity_fnu,discharge+gage_height+turbidity_fnu,2979.0,0.7483,-2.849,68.8936808,9.91965404,True,True,weak_evidence,,shared_comid+records+source_area
USGS:401330074001201,USGS:401350073594801,Sunset Lake east of Heck St at Asbury Park NJ,Atlantic Oc in Deal Lk surge chmbr at Asbury Pk NJ,6261966,837.24,spec_cond,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,water_temp+spec_cond+diss_oxy+ph,22.0,-0.182,-13901.3977,,,True,True,distinct,,shared_comid+records+source_area
USGS:0205373035,USGS:0205373075,"BOTTOM CREEK ABOVE TRIBUTARY NR BENT MOUNTAIN, VA","BOTTOM CREEK ALONG ROUTE 612 NR BENT MOUNTAIN, VA",8628651,839.22,spec_cond,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,gage_height+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,2564.0,0.8894,-3.7188,1.0359952000000001,1.7870917199999998,True,True,distinct,,shared_comid+records+source_area
USGS:0162246747,USGS:0162246784,"BUCKHORN CREEK ABV TRIBUTARY NR LONE FOUNTAIN, VA","BUCKHORN CREEK ABOVE RT 250 NR LONE FOUNTAIN, VA",5909165,841.15,spec_cond,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,gage_height+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,1102.0,0.9387,0.0,5.749773360000001,8.9354586,True,True,distinct,,shared_comid+records+source_area
USGS:03271500,USGS:03271510,Great Miami River at Miamisburg OH,Great Miami River near Linden Ave at Miamisburg OH,3883750,843.13,,discharge,water_temp+spec_cond+diss_oxy+ph,,,,7021.457468,7026.637444,True,True,distinct,,shared_comid+records+source_area
USGS:03353451,USGS:03353460,"EAGLE CREEK BELOW RESERVOIR AT INDIANAPOLIS, IN","EAGLE CREEK AT CLERMONT, IN",18476791,848.63,discharge,discharge,discharge,3186.0,0.2223,-0.0428,419.578056,424.758032,True,True,distinct,,shared_comid+records+source_area
USGS:391035084344300,USGS:391059084342600,East Branch Shepherd Creek near Mt Airy OH,M Branch Shepherd Creek at RM 0.50 near Mt Airy OH,3405159,849.5,discharge,discharge,discharge,1003.0,0.9366,0.0,0.36259832000000003,0.20719904,True,True,distinct,,shared_comid+records+source_area
USGS:03115917,USGS:410121081330300,Tuscarawas River above Barberton OH,Long Lake Feeder O&E Canal OH,19386588,850.69,discharge,discharge,discharge,3321.0,0.0005,0.4587,170.1622116,,True,True,distinct,,shared_comid+records+source_area
USGS:01651000,USGS:01651003,"NORTHWEST BR ANACOSTIA RIVER NR HYATTSVILLE, MD","NORTHWEST BRANCH ANACOSTIA RIVER AT BRENTWOOD, MD",22337977,864.54,discharge,discharge+gage_height+water_temp+spec_cond+turbidity_fnu,discharge+gage_height+water_temp+spec_cond+turbidity_fnu,174.0,0.9932,-0.047,127.94540719999999,132.8663844,True,True,distinct,,shared_comid+records+source_area
USGS:02054500,USGS:0205450393,"ROANOKE RIVER AT LAFAYETTE, VA","ROANOKE RIVER ALONG ROUTE 626 AT LAFAYETTE, VA",8628449,867.58,,discharge,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,,,,657.856952,663.036928,False,True,distinct,,shared_comid+records+source_area
USGS:0136235575,USGS:0136235585,WARNER CREEK NR CARL MOUNTAIN NR CHICHESTER NY,WARNER CREEK IN SILVER HOLLOW NEAR PHOENICIA NY,6189748,874.89,turbidity_fnu,turbidity_fnu,turbidity_fnu,2168.0,0.8217,-1.3328,18.28531528,19.1659112,True,True,weak_evidence,,shared_comid+records+source_area
USGS:431250077322101,USGS:431314077315901,IRONDEQUOIT BAY AT BIRDS AND WORMS NY,IRONDEQUOIT BAY AT POINT PLEASANT NY,21633969,883.46,,orthophosphate,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph+fdom+fchl+fpc,,,,,,True,True,distinct,,shared_comid+records+source_area
USGS:03336998,USGS:03337100,"BONEYARD CREEK BELOW 6TH STREET AT CHAMPAIGN, IL","BONEYARD CREEK AT LINCOLN AVE AT URBANA, IL",10082040,885.0,gage_height,gage_height,discharge+gage_height,6569.0,0.9728,1.1918,10.8779496,12.38014264,True,True,weak_evidence,,shared_comid+records+source_area
USGS:04026160,USGS:465130091060701,"SISKIWIT RIVER AT CORNUCOPIA, WI","LAKE SUPERIOR AT SISKIWIT HARBOR AT CORNUCOPIA, WI",1797707,887.41,spec_cond,discharge+gage_height+water_temp+spec_cond+turbidity_fnu,water_temp+spec_cond+turbidity_fnu,320.0,0.3651,34.4271,122.7654312,,True,True,distinct,,shared_comid+records+source_area
USGS:01585225,USGS:01585230,"MOORES RUN TRIB. NEAR TODD AVE AT BALTIMORE, MD","MOORES RUN AT RADECKE AVE AT BALTIMORE, MD",11689172,887.63,discharge,discharge+water_temp,discharge+water_temp,5397.0,0.9555,-0.0263,0.38849819999999996,9.11675776,True,True,distinct,,shared_comid+records+source_area
USGS:413913083314200,USGS:413922083310500,Maumee River at Maritime Plaza at Toledo OH,Maumee River at Riverside Dr at Toledo OH,15634577,894.56,spec_cond,water_temp+spec_cond,water_temp+spec_cond,179.0,0.9164,12.0521,,,True,True,distinct,,shared_comid+records+source_area
USGS:05401065,USGS:05401067,"LONG LAKE NEAR PLAINFIELD, WI","PLAINFIELD LAKE NEAR PLAINFIELD, WI",14705032,899.92,gage_height,gage_height,gage_height,1162.0,-0.0266,0.0762,37.8138248,39.8858152,False,False,weak_evidence,,shared_comid+records+source_area
USGS:01644388,USGS:01644390,"TENMILE CREEK NEAR CLARKSBURG, MD","TENMILE CREEK NEAR BOYDS, MD",4505772,901.58,discharge,discharge,discharge,4820.0,0.9862,-0.0195,8.72825956,11.603146240000001,True,False,distinct,,shared_comid+records+source_area
USGS:01365080,USGS:01365100,PEPACTON RES DIV OUTLET NR GRAHAMSVILLE NY,CANNONSVILLE RES DIV CHANNEL NR GRAHAMSVILLE NY,6200384,902.92,,gage_height,discharge+water_temp,,,,,,True,False,distinct,,shared_comid+records+source_area
USGS:05536340,USGS:05536343,"MIDLOTHIAN CREEK AT OAK FOREST, IL","NATALIE CREEK AT MIDLOTHIAN, IL",13463785,904.33,discharge,discharge+gage_height,discharge+gage_height,3381.0,0.7759,0.1368,32.633848799999996,7.3037661599999995,True,True,distinct,,shared_comid+records+source_area
USGS:01407639,USGS:401347074003501,Harvey Brook US Corlies Av at Allenhurst NJ,Deal lake at Railroad Bridge at Asbury Park NJ,6261966,905.65,spec_cond,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,0.0,,,,,True,True,sequential,2022-10-03..2023-09-12,shared_comid+records+source_area
