Row,site_uid,decision,decided_by,note,question,station_name,site_type,site_type_source,site_type_conflict,ambiguity,snap_status,snap_dist_m,source
70,USGS:01306499,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",CONNETQUOT RIVER NEAR NORTH GREAT RIVER NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,22.56,USGS
71,USGS:01306500,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",CONNETQUOT RIVER NEAR OAKDALE NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,20.97,USGS
72,USGS:01308500,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",CARLLS RIVER AT BABYLON NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,10.87,USGS
73,USGS:01309500,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",MASSAPEQUA CREEK AT MASSAPEQUA NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,48.27,USGS
74,USGS:01309950,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",BELLMORE CREEK NEAR BELLMORE NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,33.33,USGS
75,USGS:01309990,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",BELLMORE CREEK TRIBUTARY AT BELLMORE NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,215.88,USGS
76,USGS:01310000,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",BELLMORE CREEK AT BELLMORE NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,8.14,USGS
77,USGS:01311500,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",VALLEY STREAM AT VALLEY STREAM NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,496.94,USGS
78,USGS:01335754,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",HUDSON RIVER ABOVE LOCK 1 NEAR WATERFORD NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,174.6,USGS
79,USGS:01358000,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",HUDSON RIVER AT GREEN ISLAND NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,202.53,USGS
80,USGS:01359133,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",PATROON CR AT NORTHERN BLVD AT ALBANY NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,far,2099.2,USGS
81,USGS:01359135,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",PATROON CREEK AT ALBANY NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,far,856.45,USGS
82,USGS:0135980207,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",HUDSON RIVER NEAR SCHODACK LANDING NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,236.95,USGS
83,USGS:01362090,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",CATSKILL CREEK NEAR CATSKILL NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,29.64,USGS
84,USGS:01372007,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",RONDOUT CREEK AT RONDOUT NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,43.19,USGS
85,USGS:01376307,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",HUDSON RIVER AT WATER GRANT STREET AT YONKERS NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,67.55,USGS
86,USGS:01376515,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",HUDSON RIVER AT PIER 84 AT NEW YORK NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,399.01,USGS
87,USGS:01376520,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",HUDSON RIVER AT PIER 25 AT NEW YORK NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,far,598.04,USGS
88,USGS:01376558,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",LEMON CREEK AT AMBOY ROAD AT PLEASANT PLAINS NY,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,23.08,USGS
89,USGS:01378500,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Hackensack River at New Milford NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,15.25,USGS
90,USGS:01403060,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Raritan River below Calco Dam at Bound Brook NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,60.27,USGS
91,USGS:01405400,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Manalapan Brook at Spotswood NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,42.55,USGS
92,USGS:01407500,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Swimming River near Red Bank NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,68.83,USGS
93,USGS:01407639,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Harvey Brook US Corlies Av at Allenhurst NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,far,1120.31,USGS
94,USGS:01407705,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Shark River near Neptune City NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,2.59,USGS
95,USGS:01408029,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Manasquan River near Allenwood NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,51.9,USGS
96,USGS:01408120,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",North Branch Metedeconk River near Lakewood NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,6.79,USGS
97,USGS:01408900,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Cedar Creek at Western Blvd near Lanoka Harbor NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,1.63,USGS
98,USGS:01409000,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Cedar Creek at Lanoka Harbor NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,41.97,USGS
99,USGS:01409210,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Mill Ck at Manahawkin NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,23.77,USGS
100,USGS:0140928290,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Westecunk Crk Trib at Dock Rd near West Creek NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,28.46,USGS
101,USGS:0140928320,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Westecunk Crk 3700 ft US of mouth nr West Creek NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,12.0,USGS
102,USGS:01410000,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Oswego River at Harrisville NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,32.02,USGS
103,USGS:01410150,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",East Branch Bass River near New Gretna NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,45.03,USGS
104,USGS:01410500,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Absecon Creek at Absecon NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,17.6,USGS
105,USGS:01411300,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Tuckahoe River at Head of River NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,32.25,USGS
106,USGS:01412350,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Delaware Bay at Ship John Shoal Lighthouse NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,334.44,USGS
107,USGS:01464000,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Assunpink Creek at Trenton NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,27.62,USGS
108,USGS:01464504,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",Crosswicks Creek at Groveville Rd at Groveville NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,7.79,USGS
109,USGS:01465798,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?","Poquessing Creek at Grant Ave. at Philadelphia, PA",stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,84.23,USGS
110,USGS:01465850,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",South Branch Rancocas Creek at Vincentown NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,42.83,USGS
111,USGS:01465900,,,,"KEPT as stream (usgs site type), but this reach is marked tidal. Tidally influenced?",SWB Rancocas C at Eayrestown NJ,stream,usgs_site_type,nhd_tidal,conflict_tidal,ok,11.83,USGS
