config,searched,delta_vs_default,cols,seed,lofo_r2,lofo_between_r2,lofo_within_r2,loso_r2,lofo_rmse,best_k,k_frac,at_ceiling,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,random_state,early_stopping_rounds,ax_depth,ax_lr,ax_lam,ax_mcw,ax_subsample,ax_colsample
"depth=6, lr=0.05, lam=0.1(186), colsample=0.9",colsample,-0.0212,full,42,0.4083387990457409,0.4301891552119711,0.4027144141990437,,4.110238729827086,2510,0.837,0.4071,2510,0.05,6,10.0,0.7,0.9,186.05478645833333,42,,6.0,0.05,0.1,,,0.9
"depth=4, lr=0.01","depth,lr",-0.0201,full,42,0.4077356229109726,0.4791648979629145,0.38524630789788,,4.1123333123059345,460,0.153,0.3954,460,0.01,4,10.0,0.7,0.7,384.940937,42,,4.0,0.01,,,,
"depth=4, lr=0.01","depth,lr",-0.0175,full,42,0.4077356229109726,0.4791648979629145,0.38524630789788,,4.1123333123059345,460,0.307,0.3898,460,0.01,4,10.0,0.7,0.7,384.940937,42,,4.0,0.01,,,,
"depth=4, lr=0.02","depth,lr",-0.0184,full,42,0.4068959256908884,0.4746823215277492,0.3815233921545341,,4.115247460038278,190,0.127,0.391,190,0.02,4,10.0,0.7,0.7,384.940937,42,,4.0,0.02,,,,
"depth=4, lr=0.02","depth,lr",-0.0209,full,42,0.4068959256908884,0.4746823215277492,0.3815233921545341,,4.115247460038278,190,0.063,0.3949,190,0.02,4,10.0,0.7,0.7,384.940937,42,,4.0,0.02,,,,
"lr=0.05, depth=4, lam=0.3(2233)","depth,lam",-0.0209,full,42,0.4068862986599918,0.411578588269874,0.4105097372329606,,4.115280858437815,2340,0.78,0.406,2340,0.05,4,10.0,0.7,0.7,2232.6574374999996,42,,4.0,0.05,0.3,,,
"lr=0.05, depth=6, lam=0.02(37)","depth,lam",-0.0234,full,42,0.4043578319680829,0.4300625086739272,0.3999825016086287,,4.124043330563023,1760,0.587,0.4021,1760,0.05,6,10.0,0.7,0.7,37.210957291666666,42,,6.0,0.05,0.02,,,
"lr=0.05, depth=4, lam=0.1(744)","depth,lam",-0.0239,full,42,0.403842011666312,0.405812712202475,0.4034096552561728,,4.125828634761583,2190,0.73,0.402,2190,0.05,4,10.0,0.7,0.7,744.2191458333333,42,,4.0,0.05,0.1,,,
"depth=4, lr=0.05","depth,lr",-0.0275,full,42,0.4002606406249281,0.4594776665120671,0.3791627667048838,,4.138202869694861,90,0.03,0.3873,90,0.05,4,10.0,0.7,0.7,384.940937,42,,4.0,0.05,,,,
"depth=4, lr=0.05","depth,lr",-0.025,full,42,0.4002606406249281,0.4594776665120671,0.3791627667048838,,4.138202869694861,90,0.06,0.3832,90,0.05,4,10.0,0.7,0.7,384.940937,42,,4.0,0.05,,,,
"lr=0.05, depth=4, lam=0.02(149)","depth,lam",-0.0276,full,42,0.4002153209982571,0.4695222727214035,0.377548968773869,,4.138359219502008,80,0.027,0.3879,80,0.05,4,10.0,0.7,0.7,148.8438291666667,42,,4.0,0.05,0.02,,,
"lr=0.05, depth=4, lam=0.002(15)","depth,lam",-0.0277,full,42,0.4001166011062739,0.4773791616151367,0.3759964316398443,,4.138699776355378,80,0.027,0.373,80,0.05,4,10.0,0.7,0.7,14.884382916666668,42,,4.0,0.05,0.002,,,
"lr=0.05, depth=6, lam=0.002(4)","depth,lam",-0.0315,full,42,0.3962728623205805,0.4310930844511582,0.3928590956206718,,4.151937915244305,400,0.133,0.3893,400,0.05,6,10.0,0.7,0.7,3.721095729166666,42,,6.0,0.05,0.002,,,
"lr=0.05, depth=5, lam=0.002(7)","depth,lam",-0.0316,full,42,0.396150757951051,0.4797517492036348,0.3713076130491921,,4.152357760650156,60,0.02,0.3856,60,0.05,5,10.0,0.7,0.7,7.442191458333333,42,,5.0,0.05,0.002,,,
"depth=3, lr=0.05","depth,lr",-0.0363,full,42,0.3915290733940361,0.4470400272735102,0.3702812371352636,,4.168217933939683,100,0.033,0.3716,100,0.05,3,10.0,0.7,0.7,384.940937,42,,3.0,0.05,,,,
"depth=3, lr=0.05","depth,lr",-0.0337,full,42,0.3915290733940361,0.4470400272735102,0.3702812371352636,,4.168217933939683,100,0.067,0.3718,100,0.05,3,10.0,0.7,0.7,384.940937,42,,3.0,0.05,,,,
"depth=3, lr=0.02","depth,lr",-0.0379,full,42,0.3899222427126085,0.4437161068923807,0.3718465212725627,,4.173717953976306,240,0.08,0.3682,240,0.02,3,10.0,0.7,0.7,384.940937,42,,3.0,0.02,,,,
"depth=3, lr=0.02","depth,lr",-0.0353,full,42,0.3899222427126085,0.4437161068923807,0.3718465212725627,,4.173717953976306,240,0.16,0.3642,240,0.02,3,10.0,0.7,0.7,384.940937,42,,3.0,0.02,,,,
"lr=0.05, depth=3, lam=0.02(298)","depth,lam",-0.0384,full,42,0.3893987870493407,0.4486500584035948,0.3704394620517945,,4.17550812566877,100,0.033,0.3673,100,0.05,3,10.0,0.7,0.7,297.68765833333333,42,,3.0,0.05,0.02,,,
"depth=3, lr=0.01","depth,lr",-0.0364,full,42,0.3888096242284258,0.4396143401231873,0.3716133783934437,,4.177522092362416,460,0.307,0.3627,460,0.01,3,10.0,0.7,0.7,384.940937,42,,3.0,0.01,,,,
"depth=3, lr=0.01","depth,lr",-0.039,full,42,0.3888096242284258,0.4396143401231873,0.3716133783934437,,4.177522092362416,460,0.153,0.3571,460,0.01,3,10.0,0.7,0.7,384.940937,42,,3.0,0.01,,,,
"lr=0.05, depth=3, lam=0.002(30)","depth,lam",-0.0393,full,42,0.3884434334452337,0.445086359078287,0.370367693980941,,4.1787733727147245,100,0.033,0.3541,100,0.05,3,10.0,0.7,0.7,29.768765833333333,42,,3.0,0.05,0.002,,,
"lr=0.05, depth=3, lam=0.3(4465)","depth,lam",-0.0413,full,42,0.3865167512961434,0.4373511839847693,0.3764083335027083,,4.185350717525084,130,0.043,0.3809,130,0.05,3,10.0,0.7,0.7,4465.314874999999,42,,3.0,0.05,0.3,,,
"lr=0.05, depth=3, lam=0.1(1488)","depth,lam",-0.0426,full,42,0.3851737627951928,0.4281158939173004,0.3758368093761106,,4.18992933076861,130,0.043,0.3737,130,0.05,3,10.0,0.7,0.7,1488.4382916666666,42,,3.0,0.05,0.1,,,
