year,cdl_class,crop,pixel_count,total_valid,fraction,pct
2002,87,Wetlands,5,145156,3.444569979883711e-05,0.003444569979883711
2002,176,Grass/Pasture,35272,145156,0.24299374466091653,24.299374466091653
2003,1,Corn,55595,145175,0.38295161012571033,38.295161012571036
2003,5,Soybeans,40768,145175,0.2808197003616325,28.081970036163252
2003,25,Other Small Grains,58,145175,0.00039951782331668675,0.03995178233166868
2003,36,Alfalfa,393,145175,0.002707077664887205,0.2707077664887205
2003,42,Dry Beans,29,145175,0.00019975891165834337,0.01997589116583434
2003,44,Other Crops,1,145175,6.888238333046324e-06,0.0006888238333046324
2003,61,Fallow/Idle Cropland,1658,145175,0.011420699156190805,1.1420699156190806
2003,63,Forest,971,145175,0.00668847942138798,0.668847942138798
2003,81,Clouds/No Data,167,145175,0.001150335801618736,0.1150335801618736
2003,82,Developed,1089,145175,0.007501291544687446,0.7501291544687446
2003,83,Water,369,145175,0.0025417599448940933,0.2541759944894093
2003,176,Grass/Pasture,44077,145175,0.3036128810056828,30.361288100568277
2004,1,Corn,58175,145133,0.4008392302233124,40.08392302233124
2004,5,Soybeans,44555,145133,0.3069942742174419,30.69942742174419
2004,25,Other Small Grains,34,145133,0.00023426787842875156,0.023426787842875156
2004,36,Alfalfa,70,145133,0.0004823162202944885,0.04823162202944885
2004,61,Fallow/Idle Cropland,1987,145133,0.013690890424644981,1.3690890424644981
2004,63,Forest,8101,145133,0.0558177671515093,5.58177671515093
2004,70,Christmas Trees,1,145133,6.8902317184926926e-06,0.0006890231718492693
2004,81,Clouds/No Data,1421,145133,0.009791019271978117,0.9791019271978116
2004,82,Developed,2245,145133,0.015468570208016095,1.5468570208016095
2004,83,Water,651,145133,0.004485540848738743,0.4485540848738743
2004,87,Wetlands,119,145133,0.0008199375745006304,0.08199375745006304
2004,88,Nonag/Undefined,43,145133,0.00029627996389518577,0.029627996389518577
2004,176,Grass/Pasture,27731,145133,0.19107301578552086,19.107301578552086
2005,1,Corn,57951,145107,0.3993673633939093,39.93673633939093
2005,5,Soybeans,44870,145107,0.30922009275913637,30.922009275913638
2005,36,Alfalfa,105,145107,0.0007236039612148276,0.07236039612148276
2005,44,Other Crops,4,145107,2.756586518913629e-05,0.002756586518913629
2005,61,Fallow/Idle Cropland,3059,145107,0.02108099540339198,2.108099540339198
2005,63,Forest,14754,145107,0.10167669375012922,10.167669375012922
2005,81,Clouds/No Data,315,145107,0.002170811883644483,0.2170811883644483
2005,82,Developed,1361,145107,0.009379285630603624,0.9379285630603624
2005,83,Water,840,145107,0.005788831689718621,0.5788831689718621
2005,88,Nonag/Undefined,627,145107,0.004320949368397114,0.4320949368397114
2005,176,Grass/Pasture,21221,145107,0.14624380629466532,14.624380629466533
2006,1,Corn,58482,145148,0.40291288891338495,40.291288891338496
2006,5,Soybeans,44420,145148,0.3060324634166506,30.60324634166506
2006,24,Winter Wheat,2,145148,1.3779039325378235e-05,0.0013779039325378234
2006,28,Oats,12,145148,8.26742359522694e-05,0.00826742359522694
2006,36,Alfalfa,296,145148,0.0020392978201559785,0.20392978201559786
2006,61,Fallow/Idle Cropland,809,145148,0.005573621407115496,0.5573621407115495
2006,111,Open Water,934,145148,0.006434811364951635,0.6434811364951635
2006,121,Developed/Open Space,698,145148,0.004808884724557004,0.48088847245570043
2006,122,Developed/Low Intensity,1355,145148,0.009335299142943754,0.9335299142943754
2006,123,Developed/Med Intensity,56,145148,0.0003858131011105906,0.03858131011105906
2006,124,Developed/High Intensity,118,145148,0.0008129633201973158,0.08129633201973158
2006,131,Barren,72,145148,0.0004960454157136165,0.04960454157136165
2006,141,Deciduous Forest,11194,145148,0.07712128310414199,7.712128310414198
2006,142,Evergreen Forest,3,145148,2.066855898806735e-05,0.002066855898806735
2006,143,Mixed Forest,4,145148,2.755807865075647e-05,0.002755807865075647
2006,176,Grass/Pasture,25327,145148,0.17449086449692727,17.44908644969273
2006,190,Woody Wetlands,1223,145148,0.00842588254746879,0.842588254746879
2006,195,Herbaceous Wetlands,143,145148,0.0009852013117645439,0.09852013117645439
2007,1,Corn,65199,145184,0.44907841084417016,44.907841084417015
