config,searched,delta_vs_default,seed,lofo_r2,lofo_between_r2,lofo_within_r2,loso_r2,lofo_rmse,best_k,ceiling,k_frac,ceiling_bound,at_ceiling,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,random_state,n_estimators,ax_depth,ax_lr,ax_lam,ax_mcw,ax_subsample,ax_colsample
"lr=0.01, depth=4, lam=0.1(616)","depth,lam",-0.006,42,0.4466122834267602,0.4872710703140743,0.3967490542125562,,4.041399423676029,580,2050,0.283,False,0.4435,0.01,4,10.0,0.7,0.5,615.9055,0.0,42,580,4.0,0.01,0.1,,,
"lr=0.01, depth=4, lam=0.1(616)","depth,lam",-0.0061,42,0.4466122834267602,0.4872710703140743,0.3967490542125562,,4.041399423676029,580,3050,0.19,False,0.4459,0.01,4,10.0,0.7,0.5,615.9055,0.0,42,580,4.0,0.01,0.1,,,
"lr=0.01, depth=5, lam=0.02(62)","depth,lam",-0.0063,42,0.4464389171522086,0.4887170923934379,0.3915755088925942,,4.042032422453425,390,3050,0.128,False,0.4438,0.01,5,10.0,0.7,0.5,61.59054999999999,0.0,42,390,5.0,0.01,0.02,,,
"lr=0.01, depth=5, lam=0.02(62)","depth,lam",-0.0062,42,0.4464389171522086,0.4887170923934379,0.3915755088925942,,4.042032422453425,390,2050,0.19,False,0.4443,0.01,5,10.0,0.7,0.5,61.59054999999999,0.0,42,390,5.0,0.01,0.02,,,
"lr=0.01, depth=3, lam=0.1(1232)","depth,lam",-0.0065,42,0.446278321000813,0.5227971536350393,0.3905367082729061,,4.042618706241185,580,3050,0.19,False,0.4351,0.01,3,10.0,0.7,0.5,1231.811,0.0,42,580,3.0,0.01,0.1,,,
"lr=0.01, depth=3, lam=0.1(1232)","depth,lam",-0.0063,42,0.446278321000813,0.5227971536350393,0.3905367082729061,,4.042618706241185,580,2050,0.283,False,0.4364,0.01,3,10.0,0.7,0.5,1231.811,0.0,42,580,3.0,0.01,0.1,,,
"depth=4, lr=0.01","depth,lr",-0.0038,42,0.4460026760643024,0.4857308772922256,0.3950721711260758,,4.043624797183792,510,2250,0.227,False,0.4408,0.01,4,10.0,0.7,0.5,307.95275,0.0,42,510,4.0,0.01,,,,
"depth=6, lr=0.01, lam=0.3(330), mcw=0.002(2), subsample=0.5, colsample=0.7",colsample,-0.0097,42,0.4457756935028585,0.4247954953830484,0.4113522284555854,,4.04445308486726,2230,3050,0.731,False,0.4454,0.01,6,2.1996625,0.5,0.7,329.949375,0.0,42,2230,6.0,0.01,0.3,0.002,0.5,0.7
"lr=0.01, depth=4, lam=0.02(123)","depth,lam",-0.0071,42,0.4456934041731097,0.4785504835436724,0.3935860366585912,,4.044753327004558,500,3050,0.164,False,0.4403,0.01,4,10.0,0.7,0.5,123.1811,0.0,42,500,4.0,0.01,0.02,,,
"lr=0.01, depth=4, lam=0.02(123)","depth,lam",-0.0069,42,0.4456934041731097,0.4785504835436724,0.3935860366585912,,4.044753327004558,500,2050,0.244,False,0.4396,0.01,4,10.0,0.7,0.5,123.1811,0.0,42,500,4.0,0.01,0.02,,,
"depth=3, lr=0.05","depth,lr",-0.0047,42,0.445095376777462,0.4975871695504242,0.3907120346075848,,4.046934629962844,130,2250,0.058,False,0.4292,0.05,3,10.0,0.7,0.5,307.95275,0.0,42,130,3.0,0.05,,,,
"lr=0.01, depth=5, lam=0.002(6)","depth,lam",-0.0077,42,0.4450095580020129,0.4690893223204495,0.3915935711683964,,4.047247557205414,490,3050,0.161,False,0.4386,0.01,5,10.0,0.7,0.5,6.1590549999999995,0.0,42,490,5.0,0.01,0.002,,,
"lr=0.01, depth=5, lam=0.002(6)","depth,lam",-0.0076,42,0.4450095580020129,0.4690893223204495,0.3915935711683964,,4.047247557205414,490,2050,0.239,False,0.4409,0.01,5,10.0,0.7,0.5,6.1590549999999995,0.0,42,490,5.0,0.01,0.002,,,
"lr=0.01, depth=6, lam=0.002(3)","depth,lam",-0.009,42,0.4437669551017823,0.4620189539714634,0.3936558164461299,,4.051775842122794,450,3050,0.148,False,0.436,0.01,6,10.0,0.7,0.5,3.0795275,0.0,42,450,6.0,0.01,0.002,,,
"lr=0.01, depth=6, lam=0.002(3)","depth,lam",-0.0088,42,0.4437669551017823,0.4620189539714634,0.3936558164461299,,4.051775842122794,450,2050,0.22,False,0.4385,0.01,6,10.0,0.7,0.5,3.0795275,0.0,42,450,6.0,0.01,0.002,,,
"lr=0.01, depth=4, lam=0.002(12)","depth,lam",-0.0091,42,0.4436782166730455,0.4875224161848362,0.3873614320364289,,4.052099028497793,390,3050,0.128,False,0.4331,0.01,4,10.0,0.7,0.5,12.31811,0.0,42,390,4.0,0.01,0.002,,,
"lr=0.01, depth=4, lam=0.002(12)","depth,lam",-0.0089,42,0.4436782166730455,0.4875224161848362,0.3873614320364289,,4.052099028497793,390,2050,0.19,False,0.437,0.01,4,10.0,0.7,0.5,12.31811,0.0,42,390,4.0,0.01,0.002,,,
"depth=4, lr=0.02","depth,lr",-0.008,42,0.4418211853880359,0.4714424916465716,0.393059245794321,,4.058856453556157,240,2250,0.107,False,0.4378,0.02,4,10.0,0.7,0.5,307.95275,0.0,42,240,4.0,0.02,,,,
"depth=3, lr=0.01","depth,lr",-0.0096,42,0.4401876566800264,0.4925857776345863,0.3897451682990075,,4.064791303225114,540,2250,0.24,False,0.4257,0.01,3,10.0,0.7,0.5,307.95275,0.0,42,540,3.0,0.01,,,,
"depth=3, lr=0.02","depth,lr",-0.0105,42,0.4393391456985522,0.4865982184373257,0.3902685044526243,,4.067870651299219,290,2250,0.129,False,0.4279,0.02,3,10.0,0.7,0.5,307.95275,0.0,42,290,3.0,0.02,,,,
"lr=0.01, depth=3, lam=0.02(246)","depth,lam",-0.0147,42,0.4380382270192324,0.4866270800901701,0.3899422566530517,,4.072587319719496,560,3050,0.184,False,0.4231,0.01,3,10.0,0.7,0.5,246.36219999999997,0.0,42,560,3.0,0.01,0.02,,,
"lr=0.01, depth=3, lam=0.02(246)","depth,lam",-0.0146,42,0.4380382270192324,0.4866270800901701,0.3899422566530517,,4.072587319719496,560,2050,0.273,False,0.424,0.01,3,10.0,0.7,0.5,246.36219999999997,0.0,42,560,3.0,0.01,0.02,,,
"lr=0.01, depth=3, lam=0.002(25)","depth,lam",-0.0156,42,0.4369874009790955,0.4840055884863035,0.3875887285373303,,4.076393256579549,510,2050,0.249,False,0.4272,0.01,3,10.0,0.7,0.5,24.63622,0.0,42,510,3.0,0.01,0.002,,,
"lr=0.01, depth=3, lam=0.002(25)","depth,lam",-0.0158,42,0.4369874009790955,0.4840055884863035,0.3875887285373303,,4.076393256579549,510,3050,0.167,False,0.4246,0.01,3,10.0,0.7,0.5,24.63622,0.0,42,510,3.0,0.01,0.002,,,
"depth=6, lr=0.01, lam=0.3(330), mcw=0.002(2), subsample=0.5, colsample=0.9",colsample,-0.0204,42,0.4350006355726947,0.3918769653671728,0.4062118596690429,,4.083579334546644,2290,3050,0.751,False,0.4347,0.01,6,2.1996625,0.5,0.9,329.949375,0.0,42,2290,6.0,0.01,0.3,0.002,0.5,0.9
