monitoring_location_id,lat,lon,dist_km,nearest_uid,nearest_src,overlap_yr,families
USGS-06901205,40.2588888888889,-93.0833333333333,27.728522698846653,USGS-06899900,USGS,5.947809719370294,discharge+stage
USGS-05483349,42.0416519499011,-94.8788752046458,27.7655180775253,WQS0104,IWQIS,3.8008289603772467,discharge+stage
USGS-06805600,41.0011104013713,-95.8666751132201,27.858520473528,USGS-06808500,USGS,2.0013404061145335,discharge+stage
USGS-05495500,40.1428222222222,-91.3373694444444,28.067030967619285,USGS-05474500,USGS,3.2784622404745605,discharge+stage
USGS-05414000,42.7311111111111,-90.6402777777778,28.14171732747842,WQS0026,IWQIS,3.640761496438259,discharge+stage
USGS-05567500,40.6235,-89.2416666666667,28.312544906024105,USGS-05559900,USGS,3.1058920830481402,discharge+diss_oxy+nitrate+ph+spec_cond+stage+turbidity+water_temp
USGS-05413500,42.72027777777778,-90.81916666666666,28.438587831559186,WQS0026,IWQIS,3.640761496438259,discharge+stage
USGS-05421100,42.4880410326587,-91.7862789526294,28.470167256348716,WQS0027,IWQIS,4.572286644104748,discharge+stage
USGS-05448000,41.4424166666667,-90.5555277777778,28.54759205228627,WQS0020,IWQIS,9.492301537506021,discharge+stage
USGS-411843092105101,41.3118333333333,-92.1808055555556,28.75100549786399,WQS0072,IWQIS,1.0383223058788058,groundwater
USGS-06481500,43.533611,-96.790556,28.792412344534448,USGS-06481000,USGS,6.279289299566506,discharge+stage
USGS-05476735,42.80575,-94.4626388888889,29.04111786995963,WQS0074,IWQIS,5.423330671533957,stage
USGS-06806500,40.794167,-95.911389,29.119159721447144,USGS-06808500,USGS,10.392767510837327,discharge+stage
USGS-05487470,41.3378888888889,-93.4864166666667,29.15833443899659,WQS0046,IWQIS,9.97637843181991,discharge+stage
USGS-05416972,42.4491542326094,-91.4807061452845,29.311288875251254,USGS-05418110,USGS,2.494267624914442,discharge+stage
USGS-05568000,40.4546666666667,-89.6061666666667,29.715554862945186,USGS-05568705,USGS,4.127053388090349,discharge+stage+water_temp
USGS-05414213,42.7230489358358,-90.5281841765359,30.164795826894423,WQS0026,IWQIS,3.640761496438259,discharge+stage
USGS-06478500,43.185833,-97.635278,30.20470523005893,USGS-06478513,USGS,7.235312571298198,discharge+stage
USGS-05466000,41.27224722222222,-90.37749166666666,30.263501522341492,USGS-05447500,USGS,9.80797969427336,discharge+stage
USGS-06478522,42.764986111111114,-97.17251111111112,30.27179894684032,USGS-06478513,USGS,7.235312571298198,discharge+diss_oxy+ph+spec_cond+stage+water_temp
USGS-05488110,41.3641666666667,-92.9754722222222,30.445680369632747,WQS0046,IWQIS,9.97637843181991,discharge+stage+water_temp
USGS-06904600,40.342519779839,-92.9552051494148,30.682446916663334,USGS-06899900,USGS,4.953399498060721,discharge+stage
USGS-05472500,41.3008444444444,-92.2046222222222,30.885362694972525,WQS0072,IWQIS,5.218457677389916,discharge+stage
USGS-05448400,43.1024617368889,-93.7846643367288,30.886173412111678,WQS0108,IWQIS,1.3664632291429006,discharge+stage
USGS-06483440,43.3896916173967,-95.7150146091636,30.962243622990865,USGS-06603750,USGS,1.4153547798311659,discharge+stage
USGS-06805849,41.1313874855792,-95.7255620618658,31.14454197075397,USGS-06808500,USGS,9.439425051334734,discharge+stage
USGS-05455230,41.5913922564862,-92.3551841007515,31.24938741936141,WQS0072,IWQIS,5.218457677389916,discharge+stage
USGS-06610510,41.7763765891897,-95.4488898244639,31.484945437681752,WQS0040,IWQIS,8.663025705376867,discharge+stage
USGS-06899680,39.7541666666667,-93.5563888888889,31.53844031951007,USGS-06901500,USGS,5.945014830025096,stage
USGS-05458960,43.70202,-93.356731,31.544121465653372,USGS-05457000,USGS,1.7014031485284051,discharge+stage
USGS-06482745,43.586202,-96.47239,31.584072691556887,USGS-06481000,USGS,6.279289299566506,discharge+stage
USGS-05488200,41.3003888888889,-93.0449166666667,31.785005485229753,WQS0046,IWQIS,9.97637843181991,discharge+stage
USGS-06601000,42.321408,-96.487931,31.79444984705021,WQS0043,IWQIS,10.145999695794357,discharge+stage
USGS-05480500,42.5083333333333,-94.2033333333333,31.89947527013039,WQS0039,IWQIS,6.352137044642179,discharge+stage
USGS-06482000,43.501111,-96.748056,32.17626558612857,USGS-06481000,USGS,6.279289299566506,discharge+stage
USGS-05410490,43.1827777777778,-90.8583333333333,32.34114988781497,WQS0111,IWQIS,4.881110730854058,discharge+stage
USGS-05496000,40.1421111111111,-91.5656944444444,32.34190987892981,USGS-05474500,USGS,3.2784622404745605,discharge+stage
USGS-05487980,41.2464444444444,-93.2901388888889,32.41394325302348,WQS0046,IWQIS,9.97637843181991,discharge+stage
USGS-05387100,43.5527500778111,-91.149576075693,32.47730909387143,WQS0064,IWQIS,7.581711536999042,discharge+stage
MO005-402618095222701,40.43833333333333,-95.37416666666665,32.607856148506684,WQS0044,IWQIS,9.624857403604837,groundwater+precip_site
MO005-402627095220601,40.44083333333333,-95.36833333333333,32.61000748783714,WQS0044,IWQIS,9.624857403604837,groundwater
