site_uid,n,lifespan_yr,sparsity,mean,med,std,vmin,vmax,pct_neg,pct_out,ac1,noise,roughness,spike_rate,flatline_frac,seg_noise,seg_flat,seasonal_coherence,z_mean,z_std,z_noise,z_ac1,z_seasonal_coherence,z_flatline_frac,z_seg_noise,z_seg_flat,known_bad,in_manifest
WQS0023,741839.0,11.603,0.883,5.87,5.88,3.516,0.1,25.97,0.0,0.0,0.9946,0.1042,0.0539,0.256,5.3,1.3995,0.2815,0.8503271846393063,-0.18,0.12,1.15,-2.02,0.74,0.38,1.47,1.75,False,True
WQS0024,715952.0,10.606,0.9158,10.264,10.35,7.477,0.11,32.5,0.0,0.0,0.9999,0.0141,0.0228,0.022,6.63,0.6302,3.6785,0.6725209799186141,1.44,2.4,-0.94,0.73,0.22,0.75,-0.19,8.0,False,True
WQS0025,676435.0,11.148,0.9536,2.86,2.9,0.96,0.11,25.97,0.0,0.0,0.99,0.1415,0.0158,0.014,8.66,1.3109,0.7735,-0.14341619384892512,-1.29,-1.35,2.01,-4.41,-2.16,1.33,1.28,6.48,False,True
WQS0026,257226.0,3.641,0.9083,0.957,0.769,0.682,0.11,4.118,0.0,0.0,0.9992,0.0395,0.0072,0.0,16.74,0.4873,0.393,0.4172291441171786,-1.99,-1.51,-0.36,0.36,-0.53,3.61,-0.5,2.82,False,True
WQS0027,319886.0,4.572,0.9585,9.691,9.73,4.647,0.1,47.63,0.0,0.013,0.9991,0.0429,0.0425,0.091,3.11,0.5259,0.097,0.8568819765136807,1.23,0.77,-0.28,0.31,0.76,-0.24,-0.42,-0.02,False,True
WQS0028,63149.0,1.166,0.9861,8.421,8.59,3.974,0.1,15.64,0.0,0.0,0.9996,0.0282,0.0171,0.035,4.01,0.1811,0.063,0.4009040066824511,0.76,0.38,-0.62,0.57,-0.57,0.01,-1.17,-0.35,False,True
WQS0029,27472.0,0.66,0.9473,7.95,6.419,2.673,0.11,12.41,0.0,0.0,0.9979,0.0645,0.0108,0.204,2.68,0.2278,0.041,0.9181725172960266,0.58,-0.36,0.23,-0.31,0.94,-0.36,-1.07,-0.56,False,False
WQS0030,188231.0,1.954,0.9964,17.272,16.95,1.75,13.67,24.998,0.0,0.0,0.9999,0.0113,0.019,0.0,2.13,0.7181,0.223,0.31004670424547237,4.02,-0.89,-1.01,0.73,-0.84,-0.52,-0.0,1.19,False,False
WQS0031,824843.0,10.518,0.9908,10.551,10.39,1.704,0.11,28.31,0.0,0.0,0.994,0.1097,0.0235,0.075,7.52,1.0783,0.2155,0.6361348435953311,1.54,-0.92,1.27,-2.33,0.11,1.01,0.78,1.12,False,False
WQS0032,677198.0,10.187,0.9555,5.928,5.49,5.05,0.11,25.97,0.0,0.0,0.9993,0.0384,0.0196,0.014,5.14,1.403,2.0825,0.4001473253557564,-0.16,1.0,-0.38,0.42,-0.58,0.33,1.48,8.0,False,True
WQS0033,511390.0,10.196,0.7281,4.726,4.29,3.177,0.11,25.97,0.0,0.0,0.9994,0.0339,0.0285,0.007,6.12,1.3327,0.1725,0.8491997336756829,-0.6,-0.07,-0.49,0.47,0.73,0.61,1.33,0.71,False,True
WQS0034,225012.0,3.597,0.9568,3.479,2.28,3.389,0.11,18.65,0.0,0.0,0.9991,0.0415,0.0226,0.044,11.64,1.1055,0.1135,0.7182137654998608,-1.06,0.05,-0.31,0.31,0.35,2.17,0.83,0.14,False,True
WQS0035,439940.0,7.877,0.8729,7.629,7.33,3.421,0.11,25.97,0.0,0.0,0.9973,0.074,0.0222,0.014,4.09,0.7646,0.366,0.5389175112635296,0.47,0.07,0.45,-0.62,-0.17,0.04,0.1,2.56,False,True
WQS0036,165037.0,3.244,0.8449,1.553,1.24,1.955,0.11,25.97,0.0,0.0,0.9987,0.0501,0.0153,0.001,24.68,0.7219,0.2885,0.14840815536902907,-1.77,-0.78,-0.11,0.1,-1.31,5.86,0.0,1.82,False,True
WQS0037,274867.0,5.336,0.9669,6.948,7.67,2.987,0.11,12.93,0.0,0.0,0.9998,0.0218,0.0299,0.005,5.58,0.4067,0.0965,0.742672661120731,0.22,-0.18,-0.77,0.67,0.42,0.46,-0.68,-0.02,False,True
WQS0038,556363.0,8.657,0.8802,6.191,6.23,4.832,0.11,49.32,0.0,0.001,0.9968,0.0806,0.0497,0.129,10.56,0.8321,0.4005,0.8309293585681189,-0.06,0.88,0.6,-0.88,0.68,1.87,0.24,2.89,False,True
WQS0039,344388.0,6.352,0.861,7.207,8.24,4.661,0.11,19.7,0.0,0.0,0.9997,0.0226,0.035,0.015,5.79,0.7774,0.823,0.5584287303654789,0.31,0.78,-0.75,0.62,-0.11,0.52,0.12,6.95,False,True
WQS0040,453143.0,10.097,0.9504,6.044,6.33,3.779,0.11,49.7,0.0,0.003,0.9981,0.0621,0.0597,0.096,1.93,0.888,0.1825,0.5204613827238067,-0.12,0.27,0.17,-0.21,-0.23,-0.58,0.36,0.8,False,True
WQS0041,82712.0,1.166,0.7988,6.209,7.9,3.975,0.11,13.7,0.0,0.0,0.9996,0.0286,0.0267,0.006,2.23,0.3315,0.1055,0.0192136807752278,-0.06,0.38,-0.61,0.57,-1.69,-0.49,-0.84,0.06,False,True
WQS0042,166905.0,2.674,0.9858,8.61,9.36,2.955,0.11,25.97,0.0,0.0,0.9834,0.1821,0.1278,0.452,3.64,1.1472,0.0675,0.8370088271907788,0.83,-0.2,2.96,-7.83,0.7,-0.09,0.92,-0.3,False,True
WQS0043,439906.0,10.146,0.8073,10.878,12.09,6.144,0.11,41.19,0.0,0.0,0.9991,0.0415,0.0645,0.088,1.34,0.9084,0.3805,0.17379244657360998,1.66,1.63,-0.31,0.31,-1.24,-0.74,0.41,2.7,False,True
WQS0044,308938.0,9.625,0.811,4.609,4.53,2.477,0.11,28.84,0.0,0.0,0.9742,0.2273,0.1501,0.865,6.22,1.491,3.2645,0.44964691355511094,-0.65,-0.48,4.01,-8.0,-0.43,0.64,1.67,8.0,False,True
WQS0045,100297.0,3.584,0.7343,7.111,6.93,3.889,0.11,25.97,0.0,0.0,0.9987,0.0514,0.0391,0.081,2.93,0.559,0.0765,0.7440512748398052,0.28,0.34,-0.08,0.1,0.43,-0.29,-0.35,-0.22,True,True
WQS0046,676231.0,9.976,0.9671,5.814,5.93,3.548,0.11,19.93,0.0,0.0,0.9998,0.0194,0.0166,0.007,6.48,0.5135,0.7875,0.8273881497000366,-0.2,0.14,-0.82,0.67,0.67,0.71,-0.45,6.61,False,True
WQS0047,639575.0,9.946,0.9912,9.15,10.06,4.232,0.11,26.05,0.0,0.0,0.9997,0.023,0.026,0.015,2.89,0.7255,0.0795,0.8914412686926534,1.03,0.53,-0.74,0.62,0.86,-0.3,0.01,-0.19,False,True
WQS0048,605214.0,9.897,0.9764,11.466,11.74,7.379,0.11,30.66,0.0,0.0,0.9999,0.0119,0.0192,0.015,2.4,0.5011,0.1565,0.9136215349018483,1.88,2.34,-1.0,0.73,0.92,-0.44,-0.47,0.55,False,True
WQS0049,50337.0,1.248,0.6602,1.132,0.26,2.529,0.11,28.15,0.0,0.0,0.9982,0.0598,0.0191,0.04,20.18,0.5057,0.061,0.24778082092600687,-1.93,-0.45,0.12,-0.16,-1.02,4.59,-0.46,-0.36,False,True
