site_uid,latitude,longitude,monitoring_location_name,monitoring_location_number,agency_code,site_type,state_code,state_name,county_name,hydrologic_unit_code,drainage_area,drainage_area_source,altitude,vertical_datum,iwqis_uid,iwqis_river,iwqis_town,iwqis_description,iwqis_colloc_uid,iwqis_colloc_site_uid,iwqis_link_uid,iwqis_status,iwqis_nickname,is_groundwater,source
USGS-05451210,42.3153055555556,-93.1521944444444,"South Fork Iowa River NE of New Providence, IA",05451210,USGS,Stream,19,Iowa,Hardin County,070802070604,224.0,usgs,944.03,NAVD88,,,,,,,,,,False,USGS
USGS-05455100,41.6064055555556,-91.6157222222222,"Old Mans Creek near Iowa City, IA",05455100,USGS,Stream,19,Iowa,Johnson County,070802090207,201.0,usgs,637.32,NAVD88,05455100,Old Mans Creek,Iowa City,"On left bank 10 ft downstream from bridge on County Highway W62, 5.0 mi southwest of Iowa City, 5.9 mi upstream of Dirty Face Creek, and 8.8 mi upstream from mouth.",05455100,,221500,discontinued,,False,USGS
USGS-05457000,43.63757,-92.974797,"CEDAR RIVER NEAR AUSTIN, MN",05457000,USGS,Stream,27,Minnesota,Mower County,070802010206,399.0,usgs,1162.08,NAVD88,,,,,,,,,,False,USGS
USGS-05464420,42.0691638888889,-91.7851805555556,"Cedar River at Blairs Ferry Road at Palo, IA",05464420,USGS,Stream,19,Iowa,Linn County,070802051507,6342.0,usgs,725.47,NAVD88,05464420,Cedar River,Palo,"On right bank 5 ft downstream from bridge on Blairs Ferry Road in Palo, 0.6 mi downstream from Bear Creek, 800 ft upstream from Dry Creek, and 100 mi upstream from mouth.",05464420,,367769,ok,ploi4,False,USGS
USGS-05464475,41.9894159694734,-91.7595985412444,"Morgan Creek near Covington, IA",05464475,USGS,Stream,19,Iowa,Linn County,070802051506,16.7,usgs,725.98,NAVD88,05464475,Morgan Creek,Covington,"LOCATION.--Lat 41°59\'\'21.9\'\', long 91°45\'\'33.9\'\' referenced to North American Datum of 1927, in NW 1/4 SE 1/4 NE 1/4 sec.22, T.83 N., R.8 W., Linn County, IA, Hydrologic Unit 07080205, at bridge on Worcestor Road in Morgan Creek Park, 1.0 mi south of Convington, and 1.5 mi upstream from mouth.",05464475,,,ok,"Morgan Creek near Covington, IA",False,USGS
USGS-05464500,41.9719454904984,-91.6671239375737,"Cedar River at Cedar Rapids, IA",05464500,USGS,Stream,19,Iowa,Linn County,070802051507,6510.0,usgs,700.08,NAVD88,,,,,,,,,,False,USGS
USGS-0546494205,41.6700555555556,-91.3445277777778,"Hoover Creek near 2nd Street at West Branch, IA",0546494205,USGS,Stream,19,Iowa,Cedar County,070802060702,2.76,usgs,,,0546494205,Hoover Creek,West Branch,,0546494205,,221201,ok,,False,USGS
USGS-05465500,41.1780861111111,-91.1820916666667,"Iowa River at Wapello, IA",05465500,USGS,Stream,19,Iowa,Louisa County,070802091104,12500.0,usgs,538.08,NAVD88,05465500,Iowa River,Wapello,"On right bank 1,200 ft downstream from bridge on State Highway 99, at eastern edge of Wapello, 13.9 mi downstream from Cedar River, and 15.2 mi upstream from mouth.",05465500,,368123,ok,wapi4,False,USGS
USGS-05474500,40.3936553481252,-91.3743179848803,"Mississippi River at Keokuk, IA",05474500,USGS,Stream,19,Iowa,Lee County,070801041806,119000.0,usgs,477.41,NGVD29,,,,,,,,,,False,USGS
USGS-05480603,42.4108888888889,-94.1413055555556,"Prairie Creek at Otho, IA (S3)",05480603,USGS,Stream,19,Iowa,Webster County,071000040603,28.0,usgs,,,,,,,,,,,,False,USGS
USGS-05480986,42.49325,-93.7668055555555,"Lyons Creek near Webster City, IA (L3)",05480986,USGS,Stream,19,Iowa,Hamilton County,071000050701,7.82,usgs,,,,,,,,,,,,False,USGS
USGS-05481000,42.4319722222222,-93.8059444444444,"Boone River near Webster City, IA",05481000,USGS,Stream,19,Iowa,Hamilton County,071000050704,844.0,usgs,989.38,NAVD88,05481000,Boone River,Webster City,"On left bank 50 ft upstream from bridge on State Highway 17, 2.5 mi south of Webster City, 3.2 mi downstream from Brewers Creek, and 21.2 mi upstream from mouth.",05481000,,412946,ok,wbci4,False,USGS
USGS-05482000,41.6119444444444,-93.6197222222222,"Des Moines River at 2nd Avenue at Des Moines, IA",05482000,USGS,Stream,19,Iowa,Polk County,071000041003,6245.0,usgs,773.26,NAVD88,05482000,Des Moines River at 2nd Ave,Des Moines,"On right bank 5 ft upstream from bridge on State Highway 60 (2nd Avenue) in Des Moines, 1.8 mi upstream from Center Street dam, 2.8 mi upstream from Raccoon River, 4.5 mi downstream from Beaver Creek, and 195.9 mi upstream from mouth.",05482000,,378559,ok,dmoi4,False,USGS
USGS-05482300,42.3545555555556,-94.9910277777778,"North Raccoon River near Sac City, IA",05482300,USGS,Stream,19,Iowa,Sac County,071000060801,700.0,usgs,1146.13,NAVD88,05482300,North Raccoon River,Sac City,"On left bank 50 ft upstream from bridge on 300th Street, 4.6 mi south of Sac City, 2.1 mi upstream from Indian Creek, 0.3 mi upstream from Drainage Ditch 73, 135.9 mi upstream from mouth, and 166.4 mi upstream from mouth of Raccoon River.",05482300,,334282,ok,scri4,False,USGS
USGS-05482500,41.9878611111111,-94.3770833333333,"North Raccoon River near Jefferson, IA",05482500,USGS,Stream,19,Iowa,Greene County,071000061405,1619.0,usgs,967.01,NAVD88,05482500,North Raccoon River,Jefferson,"On right bank 20 ft downstream from bridge on State Highway 4, 1.9 mi south of Jefferson, 0.1 mi downstream from Drainage Ditch 33 and 40, 4.7 mi upstream from Hardin Creek, 62.6 mi upstream from mouth, and 92.6 mi upstream from mouth of Raccoon River.",05482500,,334449,ok,efwi4,False,USGS
USGS-05483600,41.6874166666667,-94.3710555555555,"Middle Raccoon River at Panora, IA",05483600,USGS,Stream,19,Iowa,Guthrie County,071000070603,440.0,usgs,991.38,NAVD88,05483600,Middle Raccoon River,Panora,"On right bank 10 ft upstream from bridge on Soldier Trail, at southwestern edge of Panora, 1.5 mi upstream from Andy''s Branch, 1.6 mi downstream from Lake Panorama, 18.2 mi upstream from mouth, 66.1 mi upstream from mouth of Raccoon River, and 267.2 mi upstream from mouth of Des Moines River.",,,279587,discontinued,pani4,False,USGS
USGS-05484000,41.5904166666667,-94.1511666666667,"South Raccoon River at Redfield, IA",05484000,USGS,Stream,19,Iowa,Dallas County,071000070902,994.0,usgs,888.59,NAVD88,05484000,South Raccoon River at Redfield,Redfield,"On right bank 20 ft upstream from bridge on H Avenue, 3.4 mi downstream from bridge on U.S. Highway 6, 2.0 mi east of Redfield, 3.4 mi downstream from Middle Raccoon River, 14.3 mi upstream from mouth, and 44.6 mi upstream from mouth of Raccoon River.",05484000,,202585,ok,,False,USGS
USGS-05484500,41.5340277777778,-93.9497777777778,"Raccoon River at Van Meter, IA",05484500,USGS,Stream,19,Iowa,Dallas County,071000061702,3441.0,usgs,836.49,NAVD88,05484500,Raccoon River,Van Meter,"On right bank 160 ft downstream from bridge on County Highway R16, 0.3 mi northeast of Van Meter, 0.7 mi upstream from small left bank tributary, 1.2 mi downstream from confluence of North and South Raccoon Rivers, and 29.3 mi upstream from mouth.",05484500,,197446,ok,vnmi4,False,USGS
USGS-05559900,40.7250373869436,-89.5495395524172,"ILLINOIS RIVER ABOVE RTE 150 AT PEORIA, IL",05559900,USGS,Stream,17,Illinois,Peoria County,071300011705,13900.0,usgs,,,,,,,,,,,,False,USGS
USGS-05568705,40.32658333333334,-89.91411111111111,"MASON TAZEWELL DRAINAGE D AT CR2350E NR TOPEKA, IL",05568705,USGS,Stream,17,Illinois,Mason County,071300030507,171.9,usgs,444.53,NAVD88,,,,,,,,,,False,USGS
USGS-06478513,42.995833,-97.369444,"JAMES RIVER NEAR YANKTON, SD",06478513,USGS,Stream,46,South Dakota,Yankton County,101600112004,20962.0,usgs,1198.19,NAVD88,,,,,,,,,,False,USGS
USGS-06480000,44.18027800000001,-96.749167,"BIG SIOUX RIVER NEAR BROOKINGS, SD",06480000,USGS,Stream,46,South Dakota,Moody County,101702030202,3338.0,usgs,1552.8,NAVD88,,,,,,,,,,False,USGS
USGS-06481000,43.790472,-96.745333,"BIG SIOUX RIVER NEAR DELL RAPIDS, SD",06481000,USGS,Stream,46,South Dakota,Minnehaha County,101702030605,3927.0,usgs,1456.94,NAVD88,,,,,,,,,,False,USGS
USGS-06603750,43.4586944444444,-95.3435833333333,"WB Little Sioux Riv abv Silver Lk at Lake Park, IA",06603750,USGS,Stream,19,Iowa,Dickinson County,102300030104,16.7,usgs,,,06603750,West Branch Little Sioux River,Lake Park,,06603750,,495161,ok,,False,USGS
USGS-06604440,43.21277777777778,-95.23916666666666,"Little Sioux River at 300th St near Spencer, IA",06604440,USGS,Stream,19,Iowa,Clay County,102300030802,523.0,usgs,1319.11,NAVD88,06604440,Little Sioux River,Spencer,"On right bank 30 ft upstream from bridge on 300th Street, 4.3 mi northwest of Spencer, 3.8 mi downstream from Drainage Ditch 52, 14.9 mi upstream from Ocheyedan River, and 199.6 mi upstream from mouth.",,,486915,discontinued,lssi4,False,USGS
USGS-06808500,40.8732777777778,-95.5814444444444,"West Nishnabotna River at Randolph, IA",06808500,USGS,Stream,19,Iowa,Fremont County,102400020805,1326.0,usgs,933.78,NAVD88,06808500,West Nishnabotna River,Randolph,"On right bank on upstream side of bridge on State Highway 184, 0.5 mi west of Randolph, 0.3 mi downstream from Deer Creek, 16.0 mi upstream from confluence with East Nishnabotna River, and 30.6 mi upstream from mouth of Nishnabotna River.",06808500,,216714,ok,,False,USGS
USGS-06817000,40.7432222222222,-95.0145277777778,"Nodaway River at Clarinda, IA",06817000,USGS,Stream,19,Iowa,Page County,102400090703,762.0,usgs,956.01,NAVD88,06817000,Nodaway River,Clarinda,"On right bank 500 ft upstream from dam, at eastern edge of Clarinda, 1300 ft downstream from North Branch, 7.8 mi upstream from East Nodaway River, and 12.3 mi upstream from Iowa-Missouri state line.",06817000,,98103,ok,icli4,False,USGS
USGS-06819550,40.43111111111111,-94.77222222222223,"Mozingo Creek near Pickering, MO",06819550,USGS,Stream,29,Missouri,Nodaway County,10240013,,,1049.35,NAVD88,,,,,,,,,,False,USGS
USGS-06899900,40.4544444444444,-93.2863888888889,"Medicine Creek at Lucerne, MO",06899900,USGS,Stream,29,Missouri,Putnam County,102801030204,118.0,usgs,870.02,NAVD88,,,,,,,,,,False,USGS
USGS-06900050,40.0266111111111,-93.4362222222222,"Medicine Creek near Laredo, MO",06900050,USGS,Stream,29,Missouri,Grundy County,102801030301,355.0,usgs,733.78,NAVD88,,,,,,,,,,False,USGS
USGS-06901500,39.8959444444444,-93.2365277777778,"Locust Creek near Linneus, MO",06901500,USGS,Stream,29,Missouri,Linn County,102801030903,550.0,usgs,693.05,NAVD88,,,,,,,,,,False,USGS
USGS-433600096442400,43.5999748347622,-96.740328459346,"PUMP STATION INTAKE BIG SIOUX R AT SIOUX FALLS, SD",433600096442400,USGS,Stream,46,South Dakota,Minnehaha County,101702031203,,,1440.0,NGVD29,,,,,,,,,,False,USGS
WQS0001,41.6938,-91.5481,,,IIHR,,19,Iowa,,,3147.0,iwqis,,,WQS0001,Iowa River,Iowa City,This site provides nitrogen-N load estimations for the drainage area above Coralville Dam and contributes in part to statewide N-loading estimates related to the Iowa Nutrient Reduction Strategy.,05453520,,318213,ok,1IAIC,False,IWQIS
WQS0002,41.6765,-91.5983,,,IIHR,,19,Iowa,,,98.0,iwqis,,,WQS0002,Clear Creek,Coralville,"The Clear Creek watershed is a small (HUC10) tributary of the Lower Iowa river watershed that is highly utilized by UofI researchers due to it’s close proximity to the UofI campus. Current research projects, including funding from the Critical Zone Observatory Intensively Managed Landscapes (CZO-IML) and EPSCoR grants, provide additional water quality data sampling and resources for WQS data integration and analysis.",05454300,,226574,maintenance,2CCC,False,IWQIS
WQS0003,41.7183,-91.7403,,,IIHR,,19,Iowa,,,61.0,iwqis,,,WQS0003,Clear Creek,Oxford,"The Clear Creek watershed is a small (HUC10) tributary of the Lower Iowa river watershed that is highly utilized by UofI researchers due to it’s close proximity to the UofI campus. Current research projects, including funding from the Critical Zone Observatory Intensively Managed Landscapes (CZO-IML) and EPSCoR grants, provide additional water quality data sampling and resources for WQS data integration and analysis.",05454220,,226541,discontinued,3CCO,False,IWQIS
WQS0004,41.7012,-91.8572,,,IIHR,,19,Iowa,,,8.0,iwqis,,,WQS0004,Clear Creek,Homestead,"On left bank of Clear Creek, 5 ft upstream of 210th St bridge.",,,220846,discontinued,4CCH,False,IWQIS
WQS0005,41.4694,-91.7147,,,IIHR,,19,Iowa,,,576.0,iwqis,,,WQS0005,English River,Kalona,"English River is a large tributary of the Iowa River, characteristic of an agricultural watershed in the Southern Iowa Drift Plain. This site will be a Water Quality Initiative (WQI) project area funded through the Iowa Nutrient Reduction Strategy, and will contribute in part to statewide N-loading estimates.",05455500,,197256,maintenance,5ENGK,False,IWQIS
WQS0006,41.4238,-91.4787,,,IIHR,,19,Iowa,,,4293.0,iwqis,,,WQS0006,Iowa River,Lone Tree,The Iowa River near Lone Tree WQS site is a significant location for strategic load calculation to quantify the Iowa River watershed’s contribution of N-loading to the Mississippi River. This site is located immediately upstream of the confluence with the Cedar River. ,,,318272,discontinued,6IALT,False,IWQIS
WQS0007,41.4098,-91.2904,,,IIHR,,19,Iowa,,,7787.0,iwqis,,,WQS0007,Cedar River,Conesville,This site is a significant location for strategic load calculation to quantify the Cedar River watershed’s contribution of N-loading to the Mississippi River. This site is located immediately upstream of the confluence with the Iowa River.,05465000,,368052,ok,7CRC,False,IWQIS
WQS0008,43.21,-92.7503,,,IIHR,,19,Iowa,,,6.0,iwqis,,,WQS0008,Slough Creek,Orchard,"This site monitors the outflow of water from the weir of the CREP wetland on Slough Creek. The CREP wetland sites are important for demonstrating the effectiveness of constructed wetlands for the purpose reducing nitrate loads to the Cedar and Mississippi Rivers, which is a key intent of the Iowa Nutrient Reduction Strategy.",,,458644,discontinued,8SCCREP,False,IWQIS
WQS0009,42.9524,-91.6432,,,IIHR,,19,Iowa,,,46.0,iwqis,,,WQS0009,Otter Creek,Elgin,This site is one of three nested sites within the Otter Creek watershed that are currently being operated by IIHR and are funded by HUD through the Iowa Watersheds Project. This site is part of a dense network of monitoring equipment that has been deployed to track watershed conditions associated with the construction of small-scale flood mitigation projects. ,,,418967,discontinued,9OCE,False,IWQIS
WQS0010,40.7531,-91.2756,,,IIHR,,19,Iowa,,,4312.0,iwqis,,,WQS0010,Skunk River,Augusta,"This site is located near the mouth of the Skunk River before its confluence with the Mississippi River, and is a crucial load calculation site for the Iowa Nutrient Reduction Strategy. There are several Water Quality Initiative projects funded through the Iowa Nutrient Reduction Strategy upstream of this site, along with several medium-large point source discharges. ",05474000,,273299,maintenance,10SRA,False,IWQIS
WQS0011,41.7305,-91.9071,,,IIHR,,19,Iowa,,,10.0,iwqis,,,WQS0011,Clear Creek,Homestead,"The Clear Creek watershed is a small (HUC10) tributary of the Lower Iowa river watershed that is highly utilized by UofI researchers due to it’s close proximity to the UofI campus. Current research projects, including funding from the Critical Zone Observatory Intensively Managed Landscapes (CZO-IML) and EPSCoR grants, provide additional water quality data sampling and resources for WQS data integration and analysis.",,,228829,discontinued,11CCSAC,False,IWQIS
WQS0012,43.2063,-92.7323,,,IIHR,,19,Iowa,,,5.0,iwqis,,,WQS0012,Slough Creek,Orchard,"This site monitors the inflow of water to the CREP wetland on Slough Creek. The CREP wetland sites are important for demonstrating the effectiveness of constructed wetlands for the purpose reducing nitrate loads to the Cedar and Mississippi Rivers, which is a key intent of the Iowa Nutrient Reduction Strategy.",,,458639,discontinued,12SCO,False,IWQIS
WQS0013,43.0668,-92.5283,,,IIHR,,19,Iowa,,,17.0,iwqis,,,WQS0013,Beaver Creek,Bassett,This site is one of two water quality monitoring sites within the Beaver Creek watershed that are currently being operated by IIHR and are funded by HUD through the Iowa Watersheds Project. This site is part of a dense network of monitoring equipment that has been deployed to track watershed conditions associated with the construction of small-scale flood mitigation projects. ,,,445241,discontinued,13BCB,False,IWQIS
WQS0014,43.1342,-92.5675,,,IIHR,,19,Iowa,,,7.0,iwqis,,,WQS0014,Beaver Creek,Colwell,This site is one of two water quality monitoring sites within the Beaver Creek watershed that are currently being operated by IIHR and are funded by HUD through the Iowa Watersheds Project. This site is part of a dense network of monitoring equipment that has been deployed to track watershed conditions associated with the construction of small-scale flood mitigation projects.,,,451321,discontinued,14BCC,False,IWQIS
WQS0015,42.9501,-91.7538,,,IIHR,,19,Iowa,,,26.0,iwqis,,,WQS0015,Otter Creek,Elgin,This site is one of three nested sites within the Otter Creek watershed that are currently being operated by IIHR and are funded by HUD through the Iowa Watersheds Project. This site is part of a dense network of monitoring equipment that has been deployed to track watershed conditions associated with the construction of small-scale flood mitigation projects.,,,418943,discontinued,15OCEH,False,IWQIS
WQS0016,42.9472,-91.7951,,,IIHR,,19,Iowa,,,15.0,iwqis,,,WQS0016,Otter Creek,West Union,This site is one of three nested sites within the Otter Creek watershed that are currently being operated by IIHR and are funded by HUD through the Iowa Watersheds Project. This site is part of a dense network of monitoring equipment that has been deployed to track watershed conditions associated with the construction of small-scale flood mitigation projects.,,,420407,discontinued,16OCWU,False,IWQIS
WQS0017,43.1334,-91.8895,,,IIHR,,19,Iowa,,,8.0,iwqis,,,WQS0017,Brockamp Creek,Fort Atkinson,,,,450023,discontinued,17BCFA,False,IWQIS
WQS0018,42.874,-91.3827,,,IIHR,,19,Iowa,,,116.0,iwqis,,,WQS0018,Roberts Creek,Elkader,,,,416772,discontinued,18RCE,False,IWQIS
WQS0019,40.7828,-92.1979,,,IIHR,,19,Iowa,,,31.0,iwqis,,,WQS0019,South Chequest Creek,Douds,South Chequest creek is a tributary of the Des Moines River in SE Iowa. This site is currently being operated by IIHR and are funded by HUD through the Iowa Watersheds Project. This site is part of a dense network of monitoring equipment that has been deployed to track watershed conditions associated with the construction of small-scale flood mitigation projects. ,,,79465,discontinued,19SCCD,False,IWQIS
WQS0020,41.4363,-90.8979,,,IIHR,,19,Iowa,,,99300.0,iwqis,,,WQS0020,Mississippi River Pool 16,Fairport,This site is located along Pool 16 of the Mississippi River near the Lucille A. Carver Mississippi Riverside Environmental Research Station (LACMRERS) operated by IIHR. ,,,544495,discontinued,20MRF,False,IWQIS
WQS0021,41.7217,-91.4263,,,IIHR,,19,Iowa,,,6.0,iwqis,,,WQS0021,Rapid Creek,Iowa City,Rapid Creek is a tributary of the Iowa River north of Iowa City. This site is located on a tributary of Rapid Creek and is part of a paired watershed study of stacked best management practices funded by the INRC. ,,,226760,discontinued,21RCIC1,False,IWQIS
WQS0022,41.7483,-91.4338,,,IIHR,,19,Iowa,,,3.0,iwqis,,,WQS0022,Rapid Creek,Iowa City,Rapid Creek is a tributary of the Iowa River north of Iowa City. This site is located on a tributary of Rapid Creek and is part of a paired watershed study of stacked best management practices funded by the INRC. ,,,231969,discontinued,22RCIC2,False,IWQIS
WQS0023,41.7669,-90.535,,,IIHR,,19,Iowa,,,2336.0,iwqis,,,WQS0023,Wapsipinicon River,De Witt,The Wapsi River location is a crucial site for N load estimations associated with the Iowa Nutrient Reduction Strategy.,05422000,,426239,maintenance,23WRDW,False,IWQIS
WQS0024,42.3149,-93.1525,,,IIHR,,19,Iowa,,,224.0,iwqis,,,WQS0024,South Fork Iowa River,New Providence,"On left bank 15 ft downstream from bridge on R Avenue, 2.0 mi northeast of New Providence, and 4.0 mi upstream from confluence with the Iowa River. The South Fork Iowa River is a major tributary of the Iowa River in north-central Iowa, which drains an area of intense crop and livestock production. This site is co-located with an Agricultural Research Service (USDA-ARS) project area. Was previously operated by USGS as site 05451210.",05451210,,323529,maintenance,24SFINP,False,IWQIS
WQS0025,42.4674,-90.683,,,IIHR,,19,Iowa,,,41.0,iwqis,,,WQS0025,Catfish Creek,Dubuque,This site is one of two sites located on Catfish Creek related to a nutrient trading study funded by the INRC. The City of Dubuque is a partner of this site.,,,345307,maintenance,25CFCD1,False,IWQIS
WQS0026,42.4813,-90.6954,,,IIHR,,19,Iowa,,,13.0,iwqis,,,WQS0026,Catfish Creek,Dubuque,This site is one of two sites located on Catfish Creek related to a nutrient trading study funded by the INRC. The City of Dubuque is a partner of this site.,,,347633,discontinued,26CFCD2,False,IWQIS
WQS0027,42.2974,-92.0177,,,IIHR,,19,Iowa,,,41.0,iwqis,,,WQS0027,Lime Creek,Brandon,"Lime Creek is a tributary of the Cedar River in east-central Iowa. This site is owned and operated by Coe College, and is part of a long-term monitoring project in the Lime Creek watershed.",,,342038,discontinued,27LCB,False,IWQIS
WQS0028,42.0818,-93.9383,,,IIHR,,19,Iowa,,,56.0,iwqis,,,WQS0028,Des Moines River,Boone,This site is one of two sites located in the Des Moines River watershed in cooperation with the City of Boone Water Work to evaluate the river-groundwater interaction at/near the Water Works intake wells. This site is located upstream of the Saylorville Reservoir and may be used to help quantify loads associated with activities upstream of the reservoir.,,,378421,discontinued,28DMRB,False,IWQIS
WQS0032,41.6874,-94.3711,,,IIHR,,19,Iowa,,,440.0,iwqis,,,WQS0032,Middle Raccoon River,Panora,"On right bank 10 ft upstream from bridge on Soldier Trail, at southwestern edge of Panora, 1.5 mi upstream from Andy''s Branch, 1.6 mi downstream from Lake Panorama, 18.2 mi upstream from mouth, 66.1 mi upstream from mouth of Raccoon River, and 267.2 mi upstream from mouth of Des Moines River. Was previously operated by USGS as site 05483600.",05483600,,279587,maintenance,32,False,IWQIS
WQS0033,40.7269,-91.9606,,,IIHR,,19,Iowa,,,14038.0,iwqis,,,WQS0033,Des Moines River,Keosauqua,Des Moines River at Keosauqua. This is a state load estimate site.,05490500,,204187,maintenance,33DMRK,False,IWQIS
WQS0034,41.0099,-92.119,,,IIHR,,19,Iowa,,,248.0,iwqis,,,WQS0034,Cedar Creek,Batavia,Cedar Creek at Batavia. This is a WQI site.,,,114158,discontinued,34CCB,False,IWQIS
WQS0035,42.3846,-92.2545,,,IIHR,,19,Iowa,,,23.0,iwqis,,,WQS0035,Miller Creek,La Porte City,"Miller Creek near La Porte City, IA. This is a WQI site.",,,325170,discontinued,35,False,IWQIS
WQS0036,40.6407,-93.8078,,,IIHR,,19,Iowa,,,701.0,iwqis,,,WQS0036,Thompson River,Davis City,,06898000,,79118,discontinued,36TRDC,False,IWQIS
WQS0037,41.5119,-94.9359,,,IIHR,,19,Iowa,,,278.0,iwqis,,,WQS0037,East Nishnabotna River,Brayton,,,,246425,discontinued,37ENRB,False,IWQIS
WQS0038,42.0415,-93.654,,,IIHR,,19,Iowa,,,196.0,iwqis,,,WQS0038,Ioway Creek,Ames,This is a WQI site.,05470500,,292243,discontinued,38ICA,False,IWQIS
WQS0039,42.7246,-93.9472,,,IIHR,,19,Iowa,,,420.0,iwqis,,,WQS0039,Boone River,Goldfield,"This is a state load estimate site, co-located with USGS discharge gage 05480820.",05480820,,412870,discontinued,39BRG,False,IWQIS
WQS0040,41.6418,-95.7826,,,IIHR,,19,Iowa,,,850.0,iwqis,,,WQS0040,Boyer River,Logan,,06609500,,273761,maintenance,40,False,IWQIS
WQS0041,41.9651,-95.9733,,,IIHR,,19,Iowa,,,760.0,iwqis,,,WQS0041,Little Sioux River,Turin,"Little Sioux River near Turin. This is a state load estimate site, co-located with USGS discharge gage 06607500.",,,326674,discontinued,41LSRT,False,IWQIS
WQS0042,42.157,-95.8098,,,IIHR,,19,Iowa,,,669.0,iwqis,,,WQS0042,Maple River,Mapleton,This site is co-located with USGS discharge gage 06607200.,,,326618,discontinued,42MRM,False,IWQIS
WQS0043,42.5764,-96.3126,,,IIHR,,19,Iowa,,,886.0,iwqis,,,WQS0043,Floyd River,James,This site is co-located with USGS discharge gage 06600500.,06600500,,397675,maintenance,43FRJ,False,IWQIS
WQS0044,40.6944,-95.5623,,,IIHR,,19,Iowa,,,1105.0,iwqis,,,WQS0044,East Nishnabotna River,Riverton,This is a state load estimate site. This site is co-located with USGS discharge gage 06809900.,06809900,,157519,maintenance,44ENRR,False,IWQIS
