site_uid,n_samples,lifespan_yr,mean,std,vmax,pct_out,ac1,noise,spike_rate,flatline_frac,longest_flat_days,seg_noise,seg_flat,n_scrubbed,seasonal_strength,seasonal_coherence,range_violation,dead_autocorr,extreme_noise,noisy,scale_outlier,flatline_heavy,seg_bad,aseasonal,score,flagged,signals,station_name,n_nitrate_days
IWQIS:WQS0104,149317,5.048,14.74,8.147,31.7,0.0,0.9998,0.0212,0.043,2.15,7.82,0.2523,1.119,0,0.15801125608961097,0.14501814132735358,False,False,False,False,False,False,True,False,8.81,True,seg_bad,Carnarvon Creek at Lake View,640
IWQIS:WQS0081,513233,14.233,7.913,6.081,31.2,0.0,0.9998,0.0208,0.022,7.04,8.89,0.4543,1.2555,0,0.21648309573935176,0.24601150744282785,False,False,False,False,False,False,True,False,8.62,True,seg_bad,Boone River at Webster City,2731
USGS:03338780,188893,5.588,4.983,3.967,20.5,0.0,0.9999,0.0125,0.001,54.19,10.59,0.5948,0.509,0,0.5429839730896572,0.17846106500227332,False,False,False,False,False,True,False,False,8.48,True,flatline_heavy,"NORTH FORK VERMILION RIVER NEAR BISMARCK, IL",1996
USGS:03374100,383440,14.231,1.455,0.811,5.65,0.0,0.9998,0.0223,0.0,7.74,24.66,0.6677,1.18,0,0.40297067158634325,0.7821310205584175,False,False,False,False,False,False,True,False,8.06,True,seg_bad,"WHITE RIVER AT HAZLETON, IN",4298
USGS:01458500,35227,2.04,1.723,2.405,10.0,0.0,0.9725,0.2346,0.764,18.53,3.47,0.8708,0.1665,0,0.03762142336026841,0.42420228923272985,False,False,False,True,False,False,False,True,7.92,True,"noisy, aseasonal",Delaware River at Frenchtown NJ,489
USGS:06894650,86803,2.996,1.789,1.013,6.5,0.0,0.9948,0.1017,0.0,47.87,6.86,0.6744,0.33,0,0.34075020729519756,0.20468035808935112,False,False,False,False,False,True,False,False,7.88,True,flatline_heavy,"Missouri River at Napoleon, MO",930
USGS:02041650,88622,2.958,0.242,0.119,0.87,0.0,0.9991,0.0427,0.0,56.62,4.38,0.2175,0.2105,0,0.05518928001258849,-0.08516027819126226,False,False,False,False,False,True,False,False,7.87,True,flatline_heavy,"APPOMATTOX RIVER AT MATOACA, VA",1042
IWQIS:WQS0002,850627,13.58,4.805,3.009,45.85,0.0,0.9978,0.066,0.062,2.93,6.26,1.4268,0.854,0,0.18212163757088462,0.2718539569603634,False,False,False,False,False,False,True,False,7.85,True,seg_bad,Clear Creek at Coralville,3362
USGS:03381500,94165,3.42,1.168,0.777,7.7,0.0,0.9977,0.0676,0.001,54.25,6.83,0.4647,0.3285,0,0.18584586133541348,0.10515369388641585,False,False,False,False,False,True,False,False,7.78,True,flatline_heavy,"LITTLE WABASH RIVER AT CARMI, IL",1012
USGS:05447500,181979,8.214,3.386,2.071,13.3,0.0,0.9995,0.032,0.002,45.76,9.66,0.8874,0.464,0,0.45125649078022134,0.33502273580261677,False,False,False,False,False,True,False,False,7.77,True,flatline_heavy,"GREEN RIVER NEAR GENESEO, IL",1933
IWQIS:WQS0090,184105,3.361,2.88,1.335,25.97,0.0,0.9913,0.1316,0.016,14.21,4.46,0.595,0.643,0,0.04449353347137419,0.48785078243245605,False,False,False,False,False,False,False,True,7.49,True,aseasonal,Village Creek at Lansing,782
USGS:02035000,391016,12.037,0.247,0.139,1.16,0.0,0.9989,0.0472,0.0,49.48,6.85,0.7408,0.3295,0,0.21917277013178416,0.788753798274819,False,False,False,False,False,True,False,False,7.3,True,flatline_heavy,"JAMES RIVER AT CARTERSVILLE, VA",4192
USGS:01576045,169698,6.518,5.409,1.258,22.6,0.0,0.9602,0.282,0.338,0.56,2.2,0.927,0.106,0,0.08024187096839597,0.6999730170095326,False,False,True,True,False,False,False,False,7.18,True,"extreme_noise, noisy","Fishing Creek at Craley, PA",1950
USGS:06808500,244394,10.447,5.658,3.005,15.2,0.0,0.9999,0.0162,0.001,51.97,5.39,0.3442,0.259,0,0.1262866099403418,0.36152680735661025,False,False,False,False,False,True,False,False,6.99,True,flatline_heavy,"West Nishnabotna River at Randolph, IA",2662
IWQIS:WQS0039,344301,6.352,7.208,4.661,19.7,0.0,0.9997,0.0226,0.015,5.58,6.14,0.7774,0.823,0,0.029495828330529772,-0.06393312576660605,False,False,False,False,False,False,True,True,6.99,True,"seg_bad, aseasonal",Boone River at Goldfield,1295
IWQIS:WQS0006,303452,5.445,6.17,3.335,25.968,0.0,0.999,0.0438,0.053,5.2,7.08,0.6877,1.0205,0,0.2878500581357174,0.02042915213068459,False,False,False,False,False,False,True,False,6.92,True,seg_bad,Iowa River at Lone Tree,1366
USGS:01577500,187877,6.017,5.823,1.004,22.6,0.0,0.9744,0.2261,0.11,18.67,2.58,0.8347,0.1245,0,0.13277458713404855,0.7131483971739575,False,False,False,True,False,False,False,False,6.73,True,noisy,"Muddy Creek at Castle Fin, PA",2062
USGS:05545750,139700,4.595,1.95,0.975,6.6,0.0,0.9992,0.041,0.0,57.28,3.09,0.4489,0.149,0,0.4104748604337082,0.7081242572829571,False,False,False,False,False,True,False,False,6.35,True,flatline_heavy,"FOX RIVER NEAR NEW MUNSTER, WI",1501
IWQIS:WQS0061,306142,7.642,6.056,3.107,25.97,0.0,0.9863,0.1655,0.598,0.92,0.15,1.4134,0.022,0,0.001769042252246722,0.3005739315683798,False,False,False,False,False,False,False,True,6.33,True,aseasonal,Soldier River at Pisgah,1123
USGS:01184000,136638,6.488,0.305,0.088,0.75,0.0,0.9987,0.0504,0.0,49.83,3.39,0.6168,0.163,0,0.11991761832661674,0.27095454630387794,False,False,False,False,False,True,False,False,6.32,True,flatline_heavy,"CONNECTICUT RIVER AT THOMPSONVILLE, CT",1475
