Gauge,site_uid,decision,decided_by,note,signals,score,station_name,n_samples,lifespan_yr,n_nitrate_days,mean,std,ac1,noise,spike_rate,flatline_frac,longest_flat_days,seg_noise,seg_flat,seasonal_coherence,n_scrubbed
58,USGS:05447500,,,,flatline_heavy,7.77,"GREEN RIVER NEAR GENESEO, IL",181979,8.214,1933,3.386,2.071,0.9995,0.032,0.002,45.76,9.66,0.8874,0.464,0.33502273580261677,0
59,IWQIS:WQS0090,,,,aseasonal,7.49,Village Creek at Lansing,184105,3.361,782,2.88,1.335,0.9913,0.1316,0.016,14.21,4.46,0.595,0.643,0.48785078243245605,0
60,USGS:02035000,,,,flatline_heavy,7.3,"JAMES RIVER AT CARTERSVILLE, VA",391016,12.037,4192,0.247,0.139,0.9989,0.0472,0.0,49.48,6.85,0.7408,0.3295,0.788753798274819,0
61,USGS:01576045,,,,"extreme_noise, noisy",7.18,"Fishing Creek at Craley, PA",169698,6.518,1950,5.409,1.258,0.9602,0.282,0.338,0.56,2.2,0.927,0.106,0.6999730170095326,0
62,USGS:06808500,,,,flatline_heavy,6.99,"West Nishnabotna River at Randolph, IA",244394,10.447,2662,5.658,3.005,0.9999,0.0162,0.001,51.97,5.39,0.3442,0.259,0.36152680735661025,0
63,IWQIS:WQS0039,,,,"seg_bad, aseasonal",6.99,Boone River at Goldfield,344301,6.352,1295,7.208,4.661,0.9997,0.0226,0.015,5.58,6.14,0.7774,0.823,-0.06393312576660605,0
64,IWQIS:WQS0006,,,,seg_bad,6.92,Iowa River at Lone Tree,303452,5.445,1366,6.17,3.335,0.999,0.0438,0.053,5.2,7.08,0.6877,1.0205,0.02042915213068459,0
65,USGS:01577500,,,,noisy,6.73,"Muddy Creek at Castle Fin, PA",187877,6.017,2062,5.823,1.004,0.9744,0.2261,0.11,18.67,2.58,0.8347,0.1245,0.7131483971739575,0
66,USGS:05545750,,,,flatline_heavy,6.35,"FOX RIVER NEAR NEW MUNSTER, WI",139700,4.595,1501,1.95,0.975,0.9992,0.041,0.0,57.28,3.09,0.4489,0.149,0.7081242572829571,0
67,IWQIS:WQS0061,,,,aseasonal,6.33,Soldier River at Pisgah,306142,7.642,1123,6.056,3.107,0.9863,0.1655,0.598,0.92,0.15,1.4134,0.022,0.3005739315683798,0
68,USGS:01184000,,,,flatline_heavy,6.32,"CONNECTICUT RIVER AT THOMPSONVILLE, CT",136638,6.488,1475,0.305,0.088,0.9987,0.0504,0.0,49.83,3.39,0.6168,0.163,0.27095454630387794,0
69,USGS:05484000,,,,flatline_heavy,5.95,"South Raccoon River at Redfield, IA",262658,10.444,2781,5.512,3.629,0.9999,0.012,0.001,53.88,3.07,0.3369,0.1475,-0.10035401664059301,0
70,USGS:411955088280601,,,,flatline_heavy,5.73,"HANSON GRAVEL PIT AT CULVERT NEAR MORRIS, IL",37348,1.869,390,1.994,1.49,0.9979,0.0641,0.008,46.78,3.99,0.6219,0.192,0.2590802298902248,0
71,USGS:05446500,,,,flatline_heavy,5.67,"ROCK RIVER NEAR JOSLIN, IL",263829,11.132,2794,3.749,1.257,0.9981,0.0619,0.003,47.05,3.94,0.4151,0.1895,0.8672429596567841,0
72,USGS:07052500,,,,flatline_heavy,5.12,"James River at Galena, MO",98985,2.898,1035,2.108,1.014,0.9995,0.0312,0.0,48.52,1.7,0.236,0.082,0.09837618188597595,0
73,IWQIS:WQS0046,,,,seg_bad,5.0,Walnut Creek at Prairie City,676228,9.976,2534,5.814,3.548,0.9998,0.0194,0.007,6.46,5.47,0.5136,0.7875,0.07623329017563926,0
74,IWQIS:WQS0043,,,,aseasonal,4.85,Floyd River at James,439375,10.146,1657,10.887,6.142,0.9991,0.0416,0.088,1.28,2.64,0.9084,0.3805,-0.24525078243713022,0
75,IWQIS:WQS0056,,,,aseasonal,4.76,"Drainage tile, Tipton Creek at Sherman",224111,9.018,2198,15.356,6.615,0.9952,0.0975,0.657,2.32,1.86,0.9976,0.09,-0.40632581639176557,0
76,IWQIS:WQS0026,,,,aseasonal,4.55,Catfish Creek at Dubuque,257226,3.641,948,0.957,0.682,0.9992,0.0395,0.0,16.69,2.73,0.4873,0.393,0.5752535375415473,0
77,IWQIS:WQS0066,,,,aseasonal,4.54,Monona-Harrison Ditch at Little Sioux,390905,8.408,1440,4.565,3.295,0.9956,0.0937,0.202,3.09,0.7,1.4736,0.1,0.16293673332323852,0
78,IWQIS:WQS0064,,,,aseasonal,4.39,Upper Iowa River at Dorchester,340649,8.479,1387,5.646,3.506,0.9944,0.1062,0.222,10.01,1.28,1.044,0.1455,0.3539258029239583,0
79,USGS:0167300055,,,,aseasonal,3.82,"MECHUMPS CREEK AT HILL CARTER PKWY AT ASHLAND, VA",47082,3.831,549,0.675,0.276,0.9896,0.1444,0.0,2.24,0.67,0.3937,0.0325,0.11937866338756835,0
80,USGS:06892350,,,,aseasonal,3.24,"KANSAS R AT DESOTO, KS",380934,13.178,4093,0.862,0.625,0.9975,0.0707,0.0,2.62,1.66,1.1061,0.08,0.511197871089649,0
81,IWQIS:WQS0076,,,,aseasonal,3.17,Drainage Ditch at Coralville,242154,4.653,910,0.454,0.35,0.996,0.0892,0.001,10.53,0.49,0.6774,0.071,-0.04196870646098242,0
82,IWQIS:WQS0040,,,,aseasonal,2.68,Boyer River at Logan,453140,10.097,1631,6.044,3.779,0.9981,0.0621,0.096,1.9,1.42,0.888,0.1825,0.18058918556143821,0
83,IWQIS:WQS0080,,,,"scale_outlier, aseasonal",2.06,Saturated Buffer at Adair,373836,4.654,1320,9.371,11.479,1.0,0.0084,0.024,7.17,0.65,0.6305,0.0945,0.2945174927195407,0
84,USGS:05536356,,,,aseasonal,1.65,"GRAND CALUMET RIVER AT COLUMBIA AV AT HAMMOND, IN",155893,4.665,1647,5.95,2.232,0.9994,0.0346,0.001,7.74,2.35,0.15,0.1125,0.105548851865807,0
85,USGS:01632900,,,,aseasonal,1.15,"SMITH CREEK NEAR NEW MARKET, VA",442664,14.39,4859,2.539,0.755,0.9995,0.032,0.0,5.04,0.82,0.3315,0.04,0.43448963068958146,0
