dist_km,cluster,n_sensors,n_reaches,bbox,box_area_km2,km2_per_sensor,hull_area_km2,fill_ratio
25.0,0,13,516,"[-121.88, 38.066, -121.312, 38.653]",3216,247,765,0.238
25.0,1,11,1133,"[-76.898, 39.546, -76.06, 40.46]",7219,656,2622,0.363
25.0,2,6,385,"[-77.425, 38.789, -76.963, 39.114]",1440,240,461,0.32
25.0,3,4,89,"[-88.974, 40.332, -88.751, 40.501]",354,89,85,0.24
25.0,4,4,333,"[-86.092, 37.872, -85.56, 38.375]",2589,647,649,0.251
25.0,5,4,862,"[-96.613, 40.926, -95.948, 41.449]",3219,805,866,0.269
25.0,6,4,498,"[-120.296, 46.18, -119.171, 46.421]",2310,577,731,0.316
25.0,7,3,255,"[-121.897, 37.885, -121.389, 38.161]",1357,452,296,0.218
25.0,8,3,197,"[-80.708, 27.75, -80.471, 28.174]",1095,365,262,0.239
25.0,9,3,469,"[-89.243, 41.222, -88.258, 41.446]",2038,679,750,0.368
25.0,10,3,92,"[-86.371, 39.714, -86.16, 40.128]",823,274,239,0.29
25.0,11,3,273,"[-87.586, 41.086, -86.493, 41.583]",5023,1674,841,0.167
25.0,12,3,492,"[-91.964, 41.875, -91.455, 42.212]",1565,522,685,0.438
25.0,13,3,573,"[-94.537, 41.475, -93.779, 41.802]",2281,760,675,0.296
25.0,14,3,293,"[-97.667, 37.75, -97.301, 38.183]",1538,513,414,0.269
25.0,15,3,814,"[-75.522, 39.7, -74.91, 40.125]",2455,818,945,0.385
25.0,16,2,62,"[-80.871, 28.552, -80.759, 28.833]",339,170,50,0.147
25.0,17,2,27,"[-82.64, 28.973, -82.32, 29.098]",430,215,66,0.153
25.0,18,2,27,"[-82.962, 29.817, -82.662, 30.112]",943,471,148,0.157
25.0,19,2,63,"[-84.016, 30.104, -83.902, 30.398]",357,178,72,0.202
25.0,20,2,22,"[-85.358, 29.879, -85.218, 30.026]",220,110,19,0.086
25.0,21,2,167,"[-87.737, 39.965, -87.497, 40.379]",934,467,274,0.293
25.0,22,2,209,"[-88.256, 37.948, -88.076, 38.21]",457,229,181,0.396
25.0,23,2,488,"[-90.462, 41.589, -89.984, 42.083]",2166,1083,729,0.337
25.0,24,2,467,"[-90.408, 41.368, -89.897, 41.726]",1683,842,712,0.423
25.0,25,2,101,"[-89.843, 39.552, -89.574, 39.802]",638,319,177,0.277
25.0,26,2,525,"[-85.141, 39.307, -84.722, 39.998]",2740,1370,903,0.33
25.0,27,2,102,"[-93.909, 42.333, -93.686, 42.581]",500,250,125,0.25
25.0,28,2,444,"[-95.159, 38.856, -94.648, 39.142]",1397,698,674,0.482
25.0,29,2,177,"[-83.521, 42.192, -83.102, 42.516]",1239,619,312,0.252
25.0,30,2,247,"[-91.021, 32.334, -90.747, 32.62]",814,407,251,0.308
25.0,31,2,142,"[-87.024, 35.914, -86.76, 36.113]",521,261,128,0.246
25.0,32,2,18,"[-78.768, 38.626, -78.544, 38.831]",439,220,96,0.219
25.0,33,2,250,"[-78.175, 38.033, -77.785, 38.26]",856,428,322,0.376
25.0,34,2,195,"[-77.473, 37.69, -77.242, 37.828]",309,155,90,0.291
25.0,35,2,637,"[-77.681, 37.16, -76.944, 37.39]",1655,828,699,0.422
25.0,36,2,102,"[-122.61, 48.792, -122.3, 48.98]",472,236,68,0.144
25.0,37,1,220,"[-90.997, 34.862, -90.773, 35.095]",526,526,134,0.255
25.0,38,1,7,"[-121.64, 38.352, -121.554, 38.562]",174,174,16,0.092
25.0,39,1,86,"[-72.719, 41.792, -72.579, 42.04]",317,317,68,0.215
25.0,40,1,320,"[-72.747, 41.388, -72.398, 41.681]",942,942,249,0.264
25.0,41,1,135,"[-75.717, 38.547, -75.493, 38.717]",365,365,97,0.266
25.0,42,1,39,"[-82.042, 29.12, -81.908, 29.319]",285,285,42,0.147
25.0,43,1,2,"[-80.727, 28.406, -80.708, 28.408]",0,0,0,
25.0,44,1,309,"[-81.895, 26.636, -81.467, 26.876]",1131,1131,231,0.204
25.0,45,1,26,"[-82.63, 28.693, -82.586, 28.728]",16,16,6,0.375
25.0,46,1,132,"[-88.15, 39.999, -87.934, 40.315]",644,644,236,0.366
25.0,47,1,168,"[-88.374, 39.385, -88.092, 39.564]",480,480,99,0.206
25.0,48,1,56,"[-87.856, 38.582, -87.588, 38.895]",807,807,195,0.242
25.0,49,1,52,"[-89.145, 37.088, -88.986, 37.234]",227,227,28,0.123
25.0,50,1,211,"[-88.232, 41.392, -87.937, 41.691]",811,811,195,0.24
25.0,51,1,86,"[-88.6, 40.629, -88.373, 40.834]",436,436,107,0.245
25.0,52,1,187,"[-89.578, 41.167, -89.248, 41.463]",903,903,227,0.251
25.0,53,1,291,"[-89.679, 40.552, -89.429, 40.896]",801,801,255,0.318
25.0,54,1,200,"[-89.358, 40.545, -89.096, 40.751]",503,503,199,0.396
25.0,55,1,43,"[-90.1, 40.265, -89.852, 40.375]",257,257,42,0.163
25.0,56,1,49,"[-89.539, 39.461, -89.431, 39.693]",238,238,62,0.261
25.0,57,1,376,"[-90.742, 39.436, -90.443, 39.776]",964,964,426,0.442
25.0,58,1,260,"[-90.442, 38.739, -90.017, 39.006]",1090,1090,304,0.279
25.0,59,1,332,"[-89.97, 38.111, -89.683, 38.46]",968,968,300,0.31
25.0,60,1,94,"[-89.463, 37.688, -89.205, 37.843]",389,389,100,0.257
25.0,61,1,111,"[-87.224, 39.623, -86.915, 39.822]",580,580,144,0.248
25.0,62,1,9,"[-87.563, 38.441, -87.505, 38.49]",28,28,10,0.357
25.0,63,1,145,"[-88.048, 38.049, -87.788, 38.278]",575,575,169,0.294
25.0,64,1,232,"[-85.207, 40.974, -84.91, 41.199]",621,621,161,0.259
25.0,65,1,118,"[-87.464, 40.768, -87.063, 41.03]",979,979,335,0.342
25.0,66,1,40,"[-87.76, 41.592, -87.351, 41.675]",312,312,72,0.231
25.0,67,1,290,"[-91.428, 42.601, -91.081, 42.839]",750,750,348,0.464
25.0,68,1,193,"[-91.253, 42.335, -90.999, 42.598]",606,606,202,0.333
25.0,69,1,214,"[-90.893, 42.081, -90.597, 42.281]",539,539,230,0.427
25.0,70,1,293,"[-90.488, 42.027, -90.149, 42.304]",854,854,288,0.337
25.0,71,1,136,"[-93.287, 42.189, -92.977, 42.436]",695,695,210,0.302
25.0,72,1,184,"[-91.811, 41.493, -91.493, 41.684]",559,559,153,0.274
25.0,73,1,238,"[-91.387, 41.089, -91.0, 41.34]",902,902,264,0.293
25.0,74,1,299,"[-91.526, 40.222, -91.23, 40.582]",996,996,322,0.323
25.0,75,1,109,"[-94.241, 42.304, -93.933, 42.499]",547,547,107,0.196
25.0,76,1,234,"[-93.795, 41.511, -93.441, 41.78]",874,874,260,0.297
25.0,77,1,110,"[-95.08, 42.265, -94.864, 42.502]",467,467,93,0.199
25.0,78,1,120,"[-94.547, 41.885, -94.258, 42.088]",537,537,93,0.173
25.0,79,1,66,"[-95.415, 43.367, -95.206, 43.529]",303,303,68,0.224
25.0,80,1,35,"[-95.273, 43.121, -95.118, 43.316]",270,270,67,0.248
25.0,81,1,199,"[-95.666, 40.687, -95.428, 41.046]",796,796,275,0.345
25.0,82,1,184,"[-95.079, 40.555, -94.949, 40.95]",476,476,202,0.424
25.0,83,1,181,"[-96.731, 39.168, -96.46, 39.376]",538,538,136,0.253
25.0,84,1,187,"[-96.458, 39.096, -96.139, 39.307]",642,642,160,0.249
25.0,85,1,102,"[-95.999, 39.463, -95.935, 39.643]",109,109,53,0.486
25.0,86,1,84,"[-84.574, 38.767, -84.365, 39.043]",553,553,141,0.255
25.0,87,1,90,"[-85.051, 38.32, -84.841, 38.556]",476,476,103,0.216
25.0,88,1,80,"[-87.504, 37.753, -87.279, 37.904]",330,330,89,0.27
25.0,89,1,65,"[-91.289, 30.341, -91.156, 30.623]",399,399,149,0.373
25.0,90,1,259,"[-91.381, 29.503, -91.175, 29.876]",822,822,240,0.292
25.0,91,1,242,"[-75.873, 38.85, -75.602, 39.141]",753,753,307,0.408
25.0,92,1,250,"[-76.092, 39.148, -75.77, 39.317]",522,522,192,0.368
25.0,93,1,279,"[-76.759, 39.128, -76.438, 39.434]",939,939,381,0.406
25.0,94,1,295,"[-76.833, 38.791, -76.609, 39.097]",655,655,219,0.334
25.0,95,1,91,"[-77.279, 39.469, -77.063, 39.607]",283,283,85,0.3
25.0,96,1,4,"[-70.42, 41.649, -70.41, 41.674]",2,2,1,0.5
25.0,97,1,178,"[-83.096, 42.507, -82.743, 42.742]",755,755,261,0.346
25.0,98,1,199,"[-93.162, 43.478, -92.797, 43.783]",992,992,323,0.326
25.0,99,1,121,"[-90.659, 33.478, -90.523, 33.697]",305,305,64,0.21
25.0,100,1,268,"[-90.488, 32.532, -90.206, 32.719]",547,547,250,0.457
25.0,101,1,312,"[-91.088, 31.869, -90.763, 32.057]",638,638,254,0.398
25.0,102,1,136,"[-91.518, 31.425, -91.308, 31.784]",789,789,190,0.241
25.0,103,1,365,"[-90.952, 31.377, -90.603, 31.672]",1081,1081,462,0.427
25.0,104,1,165,"[-91.447, 31.115, -91.146, 31.309]",615,615,148,0.241
25.0,105,1,56,"[-95.005, 39.677, -94.851, 39.86]",266,266,72,0.271
25.0,106,1,4,"[-94.825, 40.259, -94.763, 40.417]",90,90,16,0.178
25.0,107,1,274,"[-94.274, 39.076, -93.842, 39.27]",800,800,317,0.396
25.0,108,1,107,"[-93.369, 40.302, -93.215, 40.613]",449,449,148,0.33
25.0,109,1,133,"[-93.469, 39.895, -93.313, 40.223]",483,483,153,0.317
25.0,110,1,134,"[-93.258, 39.762, -93.13, 40.076]",380,380,107,0.282
25.0,111,1,307,"[-93.492, 39.482, -93.185, 39.81]",951,951,347,0.365
25.0,112,1,402,"[-91.715, 38.603, -91.221, 38.789]",883,883,480,0.544
25.0,113,1,283,"[-89.716, 37.13, -89.349, 37.472]",1230,1230,375,0.305
25.0,114,1,148,"[-93.535, 36.722, -93.35, 36.92]",359,359,95,0.265
25.0,115,1,291,"[-98.099, 42.573, -97.774, 42.891]",935,935,267,0.286
25.0,116,1,289,"[-74.354, 40.817, -74.136, 41.044]",460,460,207,0.45
25.0,117,1,244,"[-74.455, 39.912, -74.126, 40.13]",673,673,318,0.473
25.0,118,1,155,"[-75.254, 40.371, -74.956, 40.627]",711,711,169,0.238
25.0,119,1,246,"[-74.967, 40.09, -74.569, 40.364]",1023,1023,302,0.295
25.0,120,1,318,"[-83.522, 35.357, -83.157, 35.607]",913,913,345,0.378
25.0,121,1,283,"[-82.88, 38.342, -82.487, 38.656]",1190,1190,355,0.298
25.0,122,1,33,"[-83.208, 39.787, -83.15, 40.026]",131,131,29,0.221
25.0,123,1,94,"[-84.84, 41.107, -84.62, 41.24]",269,269,61,0.227
25.0,124,1,159,"[-122.787, 45.296, -122.462, 45.755]",1288,1288,281,0.218
25.0,125,1,94,"[-75.946, 40.437, -75.701, 40.619]",419,419,106,0.253
25.0,126,1,132,"[-76.822, 41.64, -76.436, 41.741]",358,358,153,0.427
25.0,127,1,98,"[-77.655, 40.926, -77.282, 41.09]",571,571,100,0.175
25.0,128,1,152,"[-77.239, 39.805, -76.987, 39.97]",394,394,120,0.305
25.0,129,1,40,"[-76.37, 40.183, -76.263, 40.297]",115,115,18,0.157
25.0,130,1,96,"[-80.413, 41.664, -80.326, 41.855]",153,153,48,0.314
25.0,131,1,76,"[-98.269, 44.255, -98.084, 44.49]",384,384,84,0.219
25.0,132,1,62,"[-97.434, 42.907, -97.317, 43.13]",235,235,67,0.285
25.0,133,1,113,"[-96.878, 44.102, -96.62, 44.271]",385,385,112,0.291
