Row,site_uid,decision,decided_by,note,criterion_version,question,station_name,site_type,site_type_source,site_type_conflict,ambiguity,snap_status,snap_dist_m,source
31,USGS:01335754,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",HUDSON RIVER ABOVE LOCK 1 NEAR WATERFORD NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,174.6,USGS
32,USGS:01358000,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",HUDSON RIVER AT GREEN ISLAND NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,202.53,USGS
33,USGS:01359133,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",PATROON CR AT NORTHERN BLVD AT ALBANY NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,far,2099.2,USGS
34,USGS:01359135,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",PATROON CREEK AT ALBANY NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,far,856.45,USGS
35,USGS:0135980207,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",HUDSON RIVER NEAR SCHODACK LANDING NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,236.95,USGS
36,USGS:01362090,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",CATSKILL CREEK NEAR CATSKILL NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,29.64,USGS
37,USGS:01372007,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",RONDOUT CREEK AT RONDOUT NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,43.19,USGS
38,USGS:01376307,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",HUDSON RIVER AT WATER GRANT STREET AT YONKERS NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,67.55,USGS
39,USGS:01376515,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",HUDSON RIVER AT PIER 84 AT NEW YORK NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,399.01,USGS
40,USGS:01376520,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",HUDSON RIVER AT PIER 25 AT NEW YORK NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,far,598.04,USGS
41,USGS:01376558,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",LEMON CREEK AT AMBOY ROAD AT PLEASANT PLAINS NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,23.08,USGS
42,USGS:01378500,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Hackensack River at New Milford NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,15.25,USGS
43,USGS:01403060,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Raritan River below Calco Dam at Bound Brook NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,60.27,USGS
44,USGS:01405400,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Manalapan Brook at Spotswood NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,42.55,USGS
45,USGS:01407500,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Swimming River near Red Bank NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,68.83,USGS
46,USGS:01407639,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Harvey Brook US Corlies Av at Allenhurst NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,far,1120.31,USGS
47,USGS:01407705,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Shark River near Neptune City NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,2.59,USGS
48,USGS:01408029,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Manasquan River near Allenwood NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,51.9,USGS
49,USGS:01408120,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",North Branch Metedeconk River near Lakewood NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,6.79,USGS
50,USGS:01408500,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Toms River near Toms River NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,23.73,USGS
51,USGS:01408900,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Cedar Creek at Western Blvd near Lanoka Harbor NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,1.63,USGS
52,USGS:01409000,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Cedar Creek at Lanoka Harbor NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,41.97,USGS
53,USGS:01409210,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Mill Ck at Manahawkin NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,23.77,USGS
54,USGS:0140928290,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Westecunk Crk Trib at Dock Rd near West Creek NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,28.46,USGS
55,USGS:0140928320,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Westecunk Crk 3700 ft US of mouth nr West Creek NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,12.0,USGS
56,USGS:01410000,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",Oswego River at Harrisville NJ,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,32.02,USGS
