ID,description,units,themeLabel
CAT_PERMAVE,Average value for the range in permeability (inches per hour) per NHDPlus version 2 catchment.CAT_NO200AVE,inches per hour,Soils
CAT_RFACT,Average Rainfall Runoff Factor from Universal Soil Loss Equation per NHDPlus version 2 catchment.CAT_PERMAVE,100s ft-tonf in/h/ac/yr,Soils
CAT_ROCKDEP,Average value for the range in the total soil thickness examined (inches) per NHDPlus version 2 catchment.CAT_RFACT,inches,Soils
CAT_BDAVE,Average value for the value of bulk density (grams per cubic centimeter) per NHDPlus version 2 catchment.CAT_RFACT,grams per unit centimeter,Soils
CAT_AWCAVE,Average value for the range in available water capacity (fraction) per NHDPlus version 2 catchment.CAT_RFACT,inches of water per inches of soil depth,Soils
CAT_WTDEP,Average value for the range in depth to the seasonally high water table (feet) per NHDPlus version 2 catchment.CAT_RFACT,feet,Soils
CAT_POPDENS00,"Population density, persons per square kilometer from 2000 Census block level data per NHDPlus version 2 catchment",persons per square kilometer,Population
CAT_POPDENS90,"Population density, persons per square kilometer per NHDPlus version 2 catchment",persons per square kilometer,Population
CAT_POPDENS10,"Population density, persons per square kilometer per NHDPlus version 2 catchment",persons per square kilometer,Population
CAT_SRL25AG,Estimated percent presence of the soil restrictive layer in the upper 25 centimeters of agricultural land,percent,Soils
CAT_SRL35AG,Estimated percent presence of the soil restrictive layer in the upper 35 centimeters of agricultural land,percent,Soils
CAT_SRL45AG,Estimated percent presence of the soil restrictive layer in the upper 45 centimeters of agricultural land,percent,Soils
CAT_SRL55AG,Estimated percent presence of the soil restrictive layer in the upper 55 centimeters of agricultural land,percent,Soils
CAT_MINP6190,Watershed minimum average annual precipitation in mm,mm/year,Climate
CAT_PPT_JAN2013,"Mean monthly precip (mm) for the watershed for January 2013, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_FEB2013,"Mean monthly precip (mm) for the watershed for Febuary 2013, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_MAR2013,"Mean monthly precip (mm) for the watershed for March 2013, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_APR2013,"Mean monthly precip (mm) for the watershed for April 2013, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_MAY2013,"Mean monthly precip (mm) for the watershed for May 2013, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_JUN2013,"Mean monthly precip (mm) for the watershed for June 2013, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_JUL2013,"Mean monthly precip (mm) for the watershed for July 2013, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_AUG2013,"Mean monthly precip (mm) for the watershed for August 2013, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_SEP2013,"Mean monthly precip (mm) for the watershed for September 2013, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_OCT2013,"Mean monthly precip (mm) for the watershed for October 2013, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_NOV2013,"Mean monthly precip (mm) for the watershed for November 2013, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_DEC2013,"Mean monthly precip (mm) for the watershed for December 2013, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_JAN2012,"Mean monthly precip (mm) for the watershed for January 2012, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_FEB2012,"Mean monthly precip (mm) for the watershed for Febuary 2012, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_MAR2012,"Mean monthly precip (mm) for the watershed for March 2012, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_APR2012,"Mean monthly precip (mm) for the watershed for April 2012, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_MAY2012,"Mean monthly precip (mm) for the watershed for May 2012, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_JUN2012,"Mean monthly precip (mm) for the watershed for June 2012, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_JUL2012,"Mean monthly precip (mm) for the watershed for July 2012, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_AUG2012,"Mean monthly precip (mm) for the watershed for August 2012, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_SEP2012,"Mean monthly precip (mm) for the watershed for September 2012, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_OCT2012,"Mean monthly precip (mm) for the watershed for October 2012, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_NOV2012,"Mean monthly precip (mm) for the watershed for November 2012, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_DEC2012,"Mean monthly precip (mm) for the watershed for December 2012, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_JAN2011,"Mean monthly precip (mm) for the watershed for January 2011, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_FEB2011,"Mean monthly precip (mm) for the watershed for Febuary 2011, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_MAR2011,"Mean monthly precip (mm) for the watershed for March 2011, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_APR2011,"Mean monthly precip (mm) for the watershed for April 2011, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_MAY2011,"Mean monthly precip (mm) for the watershed for May 2011, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_JUN2011,"Mean monthly precip (mm) for the watershed for June 2011, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_JUL2011,"Mean monthly precip (mm) for the watershed for July 2011, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_AUG2011,"Mean monthly precip (mm) for the watershed for August 2011, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_SEP2011,"Mean monthly precip (mm) for the watershed for September 2011, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_OCT2011,"Mean monthly precip (mm) for the watershed for October 2011, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_NOV2011,"Mean monthly precip (mm) for the watershed for November 2011, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_DEC2011,"Mean monthly precip (mm) for the watershed for December 2011, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_JAN2010,"Mean monthly precip (mm) for the watershed for January 2010, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_FEB2010,"Mean monthly precip (mm) for the watershed for Febuary 2010, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_MAR2010,"Mean monthly precip (mm) for the watershed for March 2010, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_APR2010,"Mean monthly precip (mm) for the watershed for April 2010, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_MAY2010,"Mean monthly precip (mm) for the watershed for May 2010, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_JUN2010,"Mean monthly precip (mm) for the watershed for June 2010, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_JUL2010,"Mean monthly precip (mm) for the watershed for July 2010, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_AUG2010,"Mean monthly precip (mm) for the watershed for August 2010, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_SEP2010,"Mean monthly precip (mm) for the watershed for September 2010, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_OCT2010,"Mean monthly precip (mm) for the watershed for October 2010, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_NOV2010,"Mean monthly precip (mm) for the watershed for November 2010, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_DEC2010,"Mean monthly precip (mm) for the watershed for December 2010, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_JAN2009,"Mean monthly precip (mm) for the watershed for January 2009, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_FEB2009,"Mean monthly precip (mm) for the watershed for Febuary 2009, from 4-km PRISM data.",mm/month,Climate Water Balance
CAT_PPT_MAR2009,"Mean monthly precip (mm) for the watershed for March 2009, from 4-km PRISM data.",mm/month,Climate Water Balance
