uid,editor_uid,site_uid,method_uid,param_uid,enabled,begin_datetime,end_datetime
93256,iihr,SCN0001,dts12,turbi_var,t,,
93176,iihr,WQS0087,dts12,turbi_bes,t,,
93179,dtrs,CTZ00307,nitrateapp,nitrate_con_int,t,2018-11-20 17:33:00-06,
93180,dtrs,CTZ00308,nitrateapp,nitrate_con_int,t,2018-07-20 13:10:40-05,
93181,dtrs,CTZ00309,nitrateapp,nitrate_con_int,t,2018-07-20 12:32:59-05,
93182,dtrs,CTZ00310,nitrateapp,nitrate_con_int,t,2018-07-20 12:18:54-05,
93183,dtrs,CTZ00311,nitrateapp,nitrate_con_int,t,2018-07-20 09:52:37-05,
93184,dtrs,CTZ00312,nitrateapp,nitrate_con_int,t,2018-07-20 09:31:01-05,
93185,dtrs,CTZ00313,nitrateapp,nitrate_con_int,t,2018-12-07 12:55:21-06,
93186,dtrs,CTZ00314,nitrateapp,nitrate_con_int,t,2018-12-14 09:42:40-06,
93187,iihr,WQS0072,ds5x,ph,t,,
93188,iihr,WQS0072,ds5x,diss_oxy_con,t,,
93189,iihr,WQS0072,ds5x,chloro_v,t,,
93190,iihr,WQS0072,ds5x,chloro_con,t,,
93191,iihr,WQS0058,ds5x,chloro_v,t,,
86287,iihr,WQS0059,nitratax,m_exc,f,,
86286,iihr,WQS0059,nitratax,r_exc,f,,
93192,iihr,WQS0058,ds5x,chloro_con,t,,
93193,iihr,WQS0085,nitratax,nitrate_con,t,,
93194,iihr,WQS0085,nitratax,r_exc,t,,
93195,iihr,WQS0085,nitratax,m_exc,t,,
93196,iihr,WQS0085,dts12,turbi_mean,t,,
93197,iihr,WQS0085,dts12,turbi_var,t,,
93198,iihr,WQS0085,dts12,turbi_med,t,,
93199,iihr,WQS0085,dts12,turbi_bes,t,,
93200,iihr,WQS0085,dts12,turbi_min,t,,
93201,iihr,WQS0085,dts12,turbi_max,t,,
93202,iihr,WQS0085,dts12,temp_water,t,,
93203,dtrs,CTZ00315,nitrateapp,nitrate_con_int,t,2019-04-24 12:03:55-05,
93204,dtrs,CTZ00316,nitrateapp,nitrate_con_int,t,2019-04-24 12:52:35-05,
93205,dtrs,CTZ00317,nitrateapp,nitrate_con_int,t,2019-04-24 09:51:55-05,
93206,dtrs,CTZ00318,nitrateapp,nitrate_con_int,t,2019-04-24 11:02:31-05,
93208,iihr,WQS0086,dts12,turbi_var,t,,
93209,iihr,WQS0086,dts12,turbi_med,t,,
93210,iihr,WQS0086,dts12,turbi_bes,t,,
93211,iihr,WQS0086,dts12,turbi_min,t,,
93212,iihr,WQS0086,dts12,turbi_max,t,,
93213,iihr,WQS0086,dts12,temp_water,t,,
93214,iihr,WQS0088,nitratax,nitrate_con,t,,
93215,iihr,WQS0088,nitratax,r_exc,t,,
93216,iihr,WQS0088,nitratax,m_exc,t,,
93217,iihr,WQS0088,dts12,turbi_mean,t,,
93218,iihr,WQS0088,dts12,turbi_var,t,,
93219,iihr,WQS0088,dts12,turbi_med,t,,
93220,iihr,WQS0088,dts12,turbi_bes,t,,
93221,iihr,WQS0088,dts12,turbi_min,t,,
93222,iihr,WQS0088,dts12,turbi_max,t,,
93223,iihr,WQS0088,dts12,temp_water,t,,
93224,iihr,WQS0088,ds5x,temp_water,t,,
93225,iihr,WQS0088,ds5x,ph,t,,
93226,iihr,WQS0088,ds5x,spec_cond,t,,
93227,iihr,WQS0088,ds5x,diss_oxy_con,t,,
93228,iihr,WQS0088,ds5x,diss_oxy_sat,t,,
93229,dtrs,CTZ00319,nitrateapp,nitrate_con_int,t,2019-05-18 10:52:13-05,
93230,dtrs,CTZ00320,nitrateapp,nitrate_con_int,t,2019-05-18 11:50:22-05,
93231,dtrs,CTZ00321,nitrateapp,nitrate_con_int,t,2019-05-18 12:21:57-05,
93268,iihr,SCNOOO1,dts12,turbi_mean,t,,
93207,iihr,WQS0086,dts12,turbi_mean,t,,
93232,dtrs,CTZ00322,nitrateapp,nitrate_con_int,t,2019-05-28 08:17:24-05,
93233,dtrs,CTZ00323,nitrateapp,nitrate_con_int,t,2019-05-28 16:17:03-05,
184,iihr,WQS0005,nitratax,nitrate_con,t,2012-06-01 02:35:00-05,2015-11-19 04:35:00-06
93234,dtrs,CTZ00324,nitrateapp,nitrate_con_int,t,2019-05-31 10:11:35-05,
93235,dtrs,CTZ00325,nitrateapp,nitrate_con_int,t,2019-06-04 10:17:35-05,
93236,iihr,WQS0089,dts12,turbi_mean,t,,
93237,iihr,WQS0089,dts12,turbi_var,t,,
93238,iihr,WQS0089,dts12,turbi_med,t,,
93239,iihr,WQS0089,dts12,turbi_bes,t,,
93240,iihr,WQS0089,dts12,turbi_min,t,,
93241,iihr,WQS0089,dts12,turbi_max,t,,
93242,iihr,WQS0089,dts12,temp_water,t,,
93243,iihr,WQS0064,ds5x,chloro_v,t,,
93244,dtrs,CTZ00326,nitrateapp,nitrate_con_int,t,2019-06-17 18:37:10-05,
